Hotel_ID,Hotel_Name,Address,State,Phone,Fax,Email,Website,Type,Rooms
54,Karni Bhawan Palace ,"""Gandhi Colony Bikaner ,Bikaner ,RAJASTHAN""",RAJASTHAN,1512524701,1512522408,karnihotels@satam.net.in,,Heritage Basic,12
55,Norkhill Hotel ,"""Stadium Road, Gangtok , SIKKIM""",SIKKIM,3592205637,3592205639,norkhill@elginhotels.com,www.elginhotels.com,Heritage Basic,25
56,Visalam,"""7/1/143 LOCAL FUND ROAD, KANADUKATHAN KARAIKUDI, TAMIL NADU, KARAIKUDI, TAMIL NADU""",TAMIL NADU,"04565277301, 2",4565273111,visalam@cghearth.com,,Heritage Basic,15
57,Hotel Fairhavens Holiday Home,"""Adacent to Head Post Office Mallital, Nainital, UTTARAKHAND""",UTTARAKHAND,5942236057,5942236604,fairhavens@rediffmail.com,,Heritage Basic,30
58,The Naini Retreat,"""Ayarapatta Sloppes, Nainital - 263001, UTTARAKHAND""",UTTARAKHAND,05942-235105,05942-235103,info@leisurehotels.co.in/bookings@leisurehotels.in,,Heritage Basic,32
59,The Elgin Hotel,"""18, H.D. Lama Road, P.O. Darjeeling, WEST BENGAL""",WEST BENGAL,3542257226,3542254267,reservation@elginhotels.com,,Heritage Basic,20
60,Taj Falaknuma Palace ,"""Engine Bowli, Falaknuma , Hyderabad, ANDHRA PRADESH""",ANDHRA PRADESH,4066298585,4066298586,falaknuma.hyderabad@tajhotels.com,,5 Star Deluxe,60
61,ITC HOTEL KAKATIYA,"""6-3-1187,BEGUMPETnull, Hyderabad, ANDHRA PRADESH""",ANDHRA PRADESH,402340032,4023401045,itckakatiya@itchotel.in,,5 Star Deluxe,188
62,Eros Hotel Managed by Hilton,"""S-1American Plaza, International Trade Tower, Nehru Place, New Delhi - 110 019, DELHI""",DELHI,011-41223344,011-26224288,nehruplace.reservations@hilton.com,www3.hilton.com,5 Star Deluxe,216
63,The Ashok,"""50-BChanakyapuri, New Delhi - 110021, DELHI""",DELHI,011-26110101,011-26873216,ashoknd@ndb.vsnl.net.in,www.theashok.com,5 Star Deluxe,550
64,Hotel Imperial,"""Janpath, New Delhi - 110001, DELHI""",DELHI,011-23341234,011-23342255,luxury@theimperialindia.com,www.theimperialindia.com,5 Star Deluxe,233
65,Hyatt Regency Delhi,"""Bhikaji Cama Place, New Delhi - 110066, DELHI""",DELHI,011-26791234,011-26791017,delhi.regency@hyatt.com,,5 Star Deluxe,508
66,ITC-The Maurya,"""ITC LimitedDiplomatic Enclave, New Delhi - 110021, DELHI""",DELHI,011-26112233,011-26113333,reservations.itcmaurya@itchotels.in,,5 Star Deluxe,440
67,Le Meridien Hotel,"""8, Windsor Place Janpath, New Delhinull, New Delhi, DELHI""",DELHI,1123710101,1123714545,info@lemeridien-newdelhi.com,,5 Star Deluxe,358
68,Taj Palace Hotel ,"""Sardar Patel Marg , New Delhi ,DELHI""",DELHI,1126110202,1126110808,palace.delhi@tajhotels.com,,5 Star Deluxe,409
69,The Lalit,"""Barakhamba AvenueConnaught Place,New Delhi - 110001, DELHI""",DELHI,011-44447777,011-44441234,newdelhi@thelalit.com,,5 Star Deluxe,457
70,The Oberoi -  New Delhi,"""Dr. Zakir Hussain Marg, New Delhi - 110003,DELHI""",DELHI,011-24363030,011-24360484,reservations@oberoigroup.com,,5 Star Deluxe,283
71,"Aman, New Delhi","""Lodhi Road, New Delhi - 110003, DELHI""",DELHI,1143633333,1143633335,amannewdelhi@amanresorts.com,,5 Star Deluxe,68
72,The Hotel Leela Palace Kempinski,"""Diplomatic Enclave, New Delhi - 110023,DELHI, National Highway No. 8, New Delhi-110037, DELHI""",DELHI,"011-39331234, 1126779090",011-39331235,reservations.newdelhi@theleela.com,,5 Star Deluxe,260
73,Riviera De Goa Resort,"""Shimer VaddoXimer, Arpora - 403 518, GOA""",GOA,0832-6655666,0832-2277503,mail@rivieradegoaresorts.com,,5 Star Deluxe,104
74,Vivanta by Taj - Panaji,"""Off. D.B. Bandodkar RoadSt. Inez, Panaji - 403001, GOA""",GOA,0832-6633636,0832-6633600,vivanta.panaji@tajhotels.com,,5 Star Deluxe,172
75,Vivanta by Taj - Holiday,"""(Earlier known as The Taj Holiday Village)Dando, Candolim, Bardez - 403 515, GOA""",GOA,0832-6645858,0832-6645502,vivanta.holidayvillage@tajhotels.com,www.vivantabytaj.com,5 Star Deluxe,142
76,Bell Tower Resorts Pvt.Ltd. ,"""Bell Tower Resorts Pvt.Ltd. (Retreat by Zuri) Pedda, Uttor Doxi, Varca Salcatte-Goa-403721 , Salcete , GOA""",GOA,8322772996,8322772996,,,5 Star Deluxe,106
77,Hotel Ramada Caravela Beach Resort,"""Varca Beach, Salcete - 403721, GOA""",GOA,0832-6695000,0832-6695699,caravela.gr@advanihotels.com/reservations.gr@advanihotels.com,www.caravelabeachresort.com,5 Star Deluxe,200
78,Vivanta By Taj- Fort Aguada,"""Sinquerim, Bardez - 403519, GOA """,GOA,0832-6645858,0832-6645868,vivanta.fortaguada@tajhotels.com,www.vivantabytaj.com,5 Star Deluxe,145
79,Th Lalit Golf & Spa Resort Goa,"""(Bharat Hotels Ltd.)Raj Baga,Canacona, GOA""",GOA,8322667777,8322667711,goaresv@thelalit.com,,5 Star Deluxe,225
80,Resort Rio,"""Resort Rio, Tambudki,Arpora, Bardez, GOA""",GOA,8322267300,8322267301,gm@resortrio.com,,5 Star Deluxe,82
81,Hotel Cidade de Goa,"""(Unit of Fomento Resorts & Hotels Ltd.), Vainguinim Beach - 403004, GOA""",GOA,8322454545,08322454541/42,cidadedegoa@cidadedegoa.com,www.cidadedegoa.com,5 Star Deluxe,205
82,Majorda Beach Resort,"""MajordaSalcette, Goa - 403713, GOA""",GOA,0832-288111/6681111,0832-2881121/2881124,acc@majordabeachresortgoa.com,www.majordabeachresort.com,5 Star Deluxe,120
83,"The Leela Kempinski, Goa","""MoborCavelossim, Salcette - 403731, GOA""",GOA,8326621234,8322871352,reservations.goa@theleela.com,www.theleela.com,5 Star Deluxe,186
84,Hotel Trident - Gurgaon,"""Plot No. 443, Udyog ViharPhase - V, Gurgaon - 122016, HARYANA""",HARYANA,0124-2450505,0124-2450606,reservations@tridenthotels.com,,5 Star Deluxe,136
85,The Leela Kempinski -  Gurgaon,"""(Ambience Hotels & Resorts Ltd.) Village Nathupur, N.H.-8 Gurgaon, Gurgaon, HARYANA""",HARYANA,1244771234,1244771235,reservations.gurgaon-delhi@theleela.com,,5 Star Deluxe,412
86,The Bristol Hotel,"""Adjacent to DLFQutab Enclave Phase - 1, Gurgaon - 122002, HARYANA""",HARYANA,0124-2356030,0124-2357834,contact@thebristolhotel.com,www.thebristolhotel.com,5 Star Deluxe,84
87,Wildflower Hall,"""(Mashobara Resort Limited, A Unit of EIH Limited)Chharabra, Shimla - 171 012, HIMACHAL PRADESH""",HIMACHAL PRADESH,0177-2648585,0177-2648686,reservations@oberoigroup.com,www.oberoihotels.com,5 Star Deluxe,85
88,Vivanta by Taj -  Whitefield,"""ITBP Whitefield, Bangalore - 560066, KARNATAKA""",KARNATAKA,080-66933333,080-66933344,vivanta.whitefield@tajhotels.com,,5 Star Deluxe,199
89,Hotel Golden Palms Hotel & Spa,"""NO-31 & 32 GOLDEN PALMS AVENUE OFF TUMKUR ROAD BANGALORE,  KARNATAKA""",KARNATAKA,8023712222,8023710022,info@goldenpalmshotel.com,,5 Star Deluxe,170
90,ITC Hotel Windsor & Towers ,"""WINDSOR SQUARE, 25 GOLF COURES ROAD, Bangalore , KARNATAKA""",KARNATAKA,802269898,802264941,www.welcomgroup.com,,5 Star Deluxe,240
91,The Taj West End,"""Race Course Road Bangalore, KARNATAKA""",KARNATAKA,8066605660,8066605700,westend.bengalore@tajhotels.com,,5 Star Deluxe,117
92,Sheraton Banglore at Brigade Gateway,"""26/1, Rajajinagar ExtensionDr. Rajkumar Road, Malleswaram West, Bangalore, KARNATAKA""",KARNATAKA,9.18041E+11,9.18022E+11,diwaker.tyagi@shraton.com,www.brigadegroup.com,5 Star Deluxe,230
93,The Oberoi Bangalore,"""39 Mahatma Gandhi RoadBanglore-560001, Bangalore, KARNATAKA""",KARNATAKA,9.18026E+11,9.18026E+11,reservations@oberoiblr.com,,5 Star Deluxe,160
94,Vivanta by Taj -  Bangalore,"""41/3M.G. Road, Bangalore - 560001, KARNATAKA""",KARNATAKA,0806660 4444,0806661 4444,vivanta.mgroad@tajhotels.com,www.vivantabytaj.com,5 Star Deluxe,167
95,Park Plaza,"""NO. 5 Defence Colony,1st main, Indirangar, KARNATAKA""",KARNATAKA,42197330,8042452346,sonusarmag@gmail.com,,5 Star Deluxe,218
96,Dream Hotel Cochin,"""37/985, C&D, Sahodaran Ayyappan Road Elamkulam Jnction, Kadavanthara cochin-682020, Cochin, KERALA""",KERALA,4844129999,4844129898,reservations@dreamcochin.com,,5 Star Deluxe,150
97,Vivanta by Taj - Bekal ,"""A Unit of Khanna Hotels PVt. LTd. BRDC Site No. 5, Kappil Beach P.O. Udma West Kasaragod - 671319, Kasaragod , KERALA""",KERALA,4672265656,4672265655,tkhanna99@gmail.com,,5 Star Deluxe,73
98,The Lalit Resorts & Spa Bekal,"""Bevoori, Udma, Taluka: Hosedurgh Distt: Kasargod Kerala, Kasaragod , KERALA""",KERALA,4672237777,4672237575,resvbekal@thelalit.com,,5 Star Deluxe,39
99,Vivanta By Taj - Kovalam,"""(Formerly known as Taj Green Cove Kovalam)G V Raja Vattappara Road, Kovalam, Thiruvananthapuram - 695 527, KERALA""",KERALA,0471-6613000,0471-2487744,Vivanta.kovalam@tajhotels.com,www.vivantabytaj.com,5 Star Deluxe,59
100,Vivanta by - Taj Malabar ,"""Willingdon Island , Cochin , KERALA""",KERALA,4846643000,4846643182,malabar.cochin@tajhotels.com,,5 Star Deluxe,96
101,The Raviz Kollam,"""Kollam Royal Park Hotel And Resorts P LtdMathilil, Kollam, KERALA""",KERALA,4742751111,4742741111,info@theraviz.com,www.theraviz.com,5 Star Deluxe,93
102,Kovalam Resort Private Limited,"""The Leela Kovalam,Kerala, Thiruvananthapuram, KERALA""",KERALA,4713051234,4712481043,reservations.kovalam@theleela.com,,5 Star Deluxe,127
103,The Grand Temple View ,"""Opp. Circuit House , Khajuraho , MADHYA PRADESH""",MADHYA PRADESH,786272333,786272123,khajraho@thegrandhotels.net,,5 Star Deluxe,47
104,Hotel Chandela,"""Airport RoadDist. Chhatarpur, Khajuraho - 471606, MADHYA PRADESH""",MADHYA PRADESH,"07686-272355, 272364","07686-272365, 272366",chandela.khajuraho@tajhotels.com,,5 Star Deluxe,90
105,Chalet Hotel,"""Plot no.39/1 6 to 15 Sector 30 AVashi Navi Mumbai, Mumbai, MAHARASHTRA""",MAHARASHTRA,2227817777,2227817979,reservations@fourpointsvashi.com,,5 Star Deluxe,118
106,Four Seasons Hotel,"""(Unit of Mogus Estates & Hotels Ltd.) Plot NO.114,Dr.E.Moses Road Worli, Mumbai, MAHARASHTRA""",MAHARASHTRA,2266627770,2266627437,reservations.mumbai@fourseasons.com,,5 Star Deluxe,202
107,HOTEL SAHARA STAR ,"""DOMESTIC AIRPORT, VILE PARLE (E), MUMBAI , MAHARASHTRA""",MAHARASHTRA,2239895000,2239895001,www.saharastar.com,,5 Star Deluxe,210
108,Hyatt Regency Mumbai,"""Sahar Airport RoadAndheri (East), Mumbai - 400 099, MAHARASHTRA""",MAHARASHTRA,022-66961234,022-66961235,mumbai.regency@hyatt.com,www.mumbai.regency.hyatt.com,5 Star Deluxe,401
109,Le Royal Meridien ,"""SAHAR AIRPORT ROAD ANDHERI (E) , Mumbai , MAHARASHTRA""",MAHARASHTRA,2228380000,2228204399,lmmumbai@vsnl.com,,5 Star Deluxe,171
110,Sun-n-Sand Hotels Pvt. Ltd.,"""39Juhu Beach, Mumbai - 400 049, MAHARASHTRA""",MAHARASHTRA,022-26201811-6693888,022-26202170,reservations@sunnsandhotel.com,www.sunnsandhotel.com,5 Star Deluxe,120
111,The Taj Mahal Palace & Tower ,"""Apollo Bunder , Mumbai , MAHARASHTRA""",MAHARASHTRA,2266653366,2266650300,tmhbc.bom@tajhotels.com,www.tajhotels.com,5 Star Deluxe,565
112,Hotel Le Meridien,"""R.B.M. Road, Pune - 411001, MAHARASHTRA""",MAHARASHTRA,2026050505,2026050506,lmpune@lemeridien-pune.com,www.lemeridien-pune.com,5 Star Deluxe,117
113,Hotel ITC Grand Central,"""287, Babasaheb Ambedkar RoadParel,Mumbai-400012, MAHARASHTRA""",MAHARASHTRA,2224101010,2224101111,itcgrandcentral@itchotels.in,,5 Star Deluxe,242
114,The Leela Kempinski,"""Sahar, Mumbai - 400 059, MAHARASHTRA""",MAHARASHTRA,022-66911234,022-66911212,reservations.mumbai@theleela.com,www.theleela.com,5 Star Deluxe,393
115,"The Oberoi, Mumbai","""Nariman Point, Mumbai - 400021, MAHARASHTRA""",MAHARASHTRA,022-66325757-6632434,022-66324142,reservations@oberoigroup.com,www.oberoihotels.com,5 Star Deluxe,287
116,The Westin Mumbai Garden City ,"""Oberoi Garden City, International Business Park, Off Western Express Highway, Goregaon (East) , Mumbai , MAHARASHTRA""",MAHARASHTRA,2261470000,2261470101,mumbaigardencity@westin.com,,5 Star Deluxe,269
117,"Fariyas Resort, Lonavla","""Frichley HillsTungarli, Lonavla - 410401, MAHARASHTRA""",MAHARASHTRA,02114-273852-55,02114-272080,fhrl@fariyas.com,www.fariyas.com,5 Star Deluxe,105
118,"Trident, Nariman Point","""Nariman Point, Mumbai - 400 021, MAHARASHTRA""",MAHARASHTRA,022-66324343,022-66325000,reservations@tridenthotels.com,www.tridenthotels.com,5 Star Deluxe,550
119,Taj Lands End,"""B.J. RoadBand Stand, Bandra (West), Mumbai - 400050, MAHARASHTRA""",MAHARASHTRA,022-66681234,022-66680957 - 66994,landsend.mumbai@tajhotels.com,www.tajhotels.com,5 Star Deluxe,493
120,Trident -  Bhubaneswar ,"""CB - 1 Nayapalli, Bhubaneshwar , ORISSA""",ORISSA,6742301010,6742301302,reservations@tridenthotels.com,,5 Star Deluxe,62
121,Hotel Mayfair Lagoon,"""8-BJaydev Vihar, Bhubaneswar, ORISSA""",ORISSA,91 674 6660101,91 674 2360236,lagoon@mayfairhotels.com,www.mayfairhotels.com,5 Star Deluxe,102
122,ISTA Amritsar,"""G.T. Road(Adjoining Alpha One City Centre), Amritsar - 143 001, PUNJAB""",PUNJAB,0183-2708888,"0183-2700186, 270999",sales@istaamritsar.com/reservations.amritsar@istahotels.com,www.istahotels.com,5 Star Deluxe,248
123,Sheraton Rajputana Hotel,"""Palace Road, Jaipur-302006, RAJASTHAN""",RAJASTHAN,1415100100,1415102102,reservations.itcrajputana@itchotels.in,sheratonrajputana@itcwelcomgroup.in,5 Star Deluxe,218
124,The Oberoi Rajvilas,"""Goner Road, Jaipur - 303012, RAJASTHAN""",RAJASTHAN,1412680101,1412680202,reservations@oberoigroup.com,www.oberoihotels.com,5 Star Deluxe,71
125,The Oberoi Udaivilas ,"""Haridas Ji Ki Magri , Udaipur , RAJASTHAN""",RAJASTHAN,2942433300,2942433200,reservations@oberoigroup.com,,5 Star Deluxe,87
126,Country Inn & Suites By Carlson,"""Country Inn & Suites By Carlson (A unit of Shivani Enclaves Pvt.,Khasa Kothi Circle M.I.Road, Jaipur, RAJASTHAN""",RAJASTHAN,2222686,2222193,mail@goyalfashions.net,,5 Star Deluxe,100
127,The Leela Palace Kempinski,"""P.O. Box No. 125Lake Pichola, Udaipur - 313 001, RAJASTHAN""",RAJASTHAN,0294-6701234,0294-6701212,businesscentre@theleela.com,www.theleela.com,5 Star Deluxe,80
128,JAI MAHAL PALACE HOTEL,"""JACOB ROAD,CIVIL LINES, Jaipur, RAJASTHAN""",RAJASTHAN,1416601111,1416601057,jaimahal.jaipur@tajhotels.com,tajhotels.com,5 Star Deluxe,100
129,Mayfair Spa & Resort,"""(Unit of Mayfair Hotels & Resorts (Sikkim) Pvt. Ltd.)Lower Samdur Block, Ranipool - 737135, Gangtok, SIKKIM""",SIKKIM,0359-2250555/666,0359-2251009,gangtok@mayfairhotels.com,,5 Star Deluxe,63
130,Taj Mount Road,"""No. 2Club House Road, Chennai - 600 002, TAMIL NADU""",TAMIL NADU,044-66313131,044-66313030,clubhouse.chennai@tajhotels.com/mountroad.chennai@tajhotels.com,,5 Star Deluxe,220
