Car_ID,Class,Price,Capacity
BH 5568 ML,Lux,900,5
BH 6123 DC,Mini,269,4
BH 9690 EJ,Sedan,356,5
BH 5658 GJ,Micro,195,2
BH 9418 GA,Mini,213,4
BH 6950 BJ,Sedan,359,5
BH 8610 OC,Micro,217,2
BH 3327 JX,SUV,597,7
BH 6628 MT,Lux,1291,5
BH 4684 JY,SUV,515,7
BH 4513 MR,SUV,635,7
BH 9730 EO,Mini,286,4
BH 0263 VZ,SUV,489,7
BH 5784 TM,SUV,786,7
BH 9385 DN,SUV,526,7
BH 8141 LI,Lux,1057,5
BH 1526 ID,Sedan,343,5
BH 8773 OB,Lux,1469,5
BH 2741 FN,Lux,1198,5
BH 1148 GN,Lux,1594,5
BH 8594 XW,Mini,206,4
BH 8266 VY,SUV,474,7
BH 5391 MJ,Lux,1092,5
BH 4719 DC,SUV,481,7
BH 7426 EW,SUV,469,7
BH 8545 WJ,Micro,236,2
BH 2636 FZ,SUV,409,7
BH 3052 JD,Micro,153,2
BH 9427 PF,Lux,1272,5
BH 5980 AQ,SUV,779,7
BH 0754 YI,Mini,245,4
BH 9649 HP,Micro,261,2
BH 5132 QX,Sedan,442,5
BH 2119 BU,Lux,1439,5
BH 5647 XP,Mini,354,4
BH 6203 WD,Lux,1094,5
BH 0205 FQ,SUV,776,7
BH 3783 IE,Mini,202,4
BH 8070 JI,SUV,712,7
BH 1093 TC,Sedan,449,5
BH 7980 CG,Micro,220,2
BH 3069 FY,SUV,687,7
BH 5437 TR,Sedan,472,5
BH 3172 DW,Mini,235,4
BH 3450 YR,Micro,237,2
BH 4258 PV,Micro,184,2
BH 3829 KU,Mini,397,4
BH 5003 CQ,Mini,225,4
BH 0764 VG,Sedan,382,5
BH 6698 OK,SUV,497,7
BH 5826 XZ,SUV,514,7
BH 3780 IT,Lux,1518,5
BH 8313 DU,Lux,848,5
BH 2894 ZE,Mini,370,4
BH 7382 VB,Mini,333,4
BH 1707 HC,Sedan,328,5
BH 2621 GA,Lux,1417,5
BH 8724 DZ,Micro,218,2
BH 5613 XC,Lux,1321,5
BH 8011 XV,Micro,208,2
BH 6437 VP,Micro,236,2
BH 9962 ZF,Mini,224,4
BH 5488 XU,Lux,1579,5
BH 7525 QH,Lux,1352,5
BH 7619 YK,SUV,419,7
BH 3428 SD,Micro,165,2
BH 4460 GD,Micro,295,2
BH 9615 JN,Mini,389,4
BH 1156 QZ,SUV,746,7
BH 6283 DO,SUV,490,7
BH 5343 DS,Lux,918,5
BH 3897 DK,Micro,286,2
BH 5508 SR,Lux,1378,5
BH 9467 DL,Mini,294,4
BH 3859 TX,SUV,568,7
BH 9748 AZ,SUV,567,7
BH 5516 PN,Lux,1525,5
BH 9972 DF,Micro,253,2
BH 9201 IN,Sedan,387,5
BH 1558 NS,Micro,181,2
BH 8058 IU,Mini,382,4
BH 0437 LO,Micro,270,2
BH 0996 VL,Lux,1113,5
BH 3519 ON,Lux,1355,5
BH 1094 YS,SUV,614,7
BH 4126 UR,SUV,777,7
BH 6566 IS,Mini,243,4
BH 7549 CK,Mini,353,4
BH 1110 XY,Lux,1359,5
BH 9891 RP,Lux,1168,5
BH 4149 OO,Sedan,459,5
BH 0757 IU,Micro,220,2
BH 4722 HL,Mini,367,4
BH 7273 HI,Mini,263,4
BH 2401 XX,Mini,291,4
BH 3518 RF,Lux,1011,5
BH 9006 SI,SUV,484,7
BH 4787 ZO,Sedan,328,5
BH 7061 QH,Micro,205,2
BH 2734 PI,Sedan,411,5
BH 8003 CG,Mini,390,4
BH 0011 UA,Mini,201,4
BH 4715 FI,Mini,358,4
BH 2120 IC,SUV,545,7
BH 3831 VB,Mini,282,4
BH 0368 MJ,SUV,665,7
BH 8041 WD,Mini,298,4
BH 9688 KJ,Mini,364,4
BH 9633 LI,Micro,154,2
BH 2878 XF,Micro,167,2
BH 8105 MN,Sedan,330,5
BH 3412 MG,SUV,787,7
BH 4354 GU,Micro,192,2
BH 3087 FS,Sedan,308,5
BH 4246 UW,Sedan,318,5
BH 3075 UA,Lux,1164,5
BH 5311 FE,Lux,872,5
BH 2787 SE,Micro,285,2
BH 5912 CE,Sedan,316,5
BH 1456 GZ,Mini,283,4
BH 1593 YK,Micro,254,2
BH 1151 NC,Lux,1022,5
BH 4106 IZ,SUV,505,7
BH 6807 SM,SUV,568,7
BH 9019 QG,SUV,475,7
BH 5612 XI,Lux,1024,5
BH 5041 ZR,Sedan,434,5
BH 6202 YM,Sedan,382,5
BH 1822 ZC,Mini,299,4
BH 6251 XK,Mini,325,4
BH 0122 TX,Mini,222,4
BH 1916 ZL,Sedan,495,5
BH 6810 KP,Mini,203,4
BH 8029 XY,Mini,206,4
BH 6675 HP,SUV,512,7
BH 5510 LB,Mini,400,4
BH 3695 TC,SUV,457,7
BH 3235 HF,Mini,214,4
BH 0133 KB,Mini,240,4
BH 7218 RR,Lux,1470,5
BH 8128 RE,SUV,599,7
BH 8007 OC,Sedan,325,5
BH 2356 GP,Sedan,390,5
BH 3962 WD,Micro,174,2
BH 9066 AO,SUV,664,7
BH 6669 PS,Sedan,405,5
BH 0961 HY,Lux,1080,5
BH 6550 JT,Lux,1104,5
BH 7245 QW,Sedan,426,5
BH 8845 LH,Lux,1034,5
BH 1896 PV,Micro,203,2
BH 2443 QP,Sedan,385,5
BH 9493 QX,SUV,719,7
BH 4999 WI,Lux,915,5
BH 2912 YN,Sedan,363,5
BH 9285 TZ,Micro,162,2
BH 4721 JU,Sedan,301,5
BH 6108 LP,SUV,682,7
BH 0143 MQ,Micro,253,2
BH 3130 OB,Mini,380,4
BH 2022 UM,Sedan,395,5
BH 0788 PG,Lux,955,5
BH 8992 AB,Mini,397,4
BH 0651 KX,Micro,248,2
BH 5364 EK,SUV,754,7
BH 3692 LQ,Micro,275,2
BH 2703 KK,Micro,243,2
BH 2526 RB,SUV,719,7
BH 2578 MF,Lux,1549,5
BH 0224 CC,Mini,299,4
BH 7716 GW,Micro,196,2
BH 9138 AL,SUV,700,7
BH 8551 JW,Mini,252,4
BH 7085 DZ,SUV,579,7
BH 0769 PV,Lux,1470,5
BH 5748 XO,Sedan,335,5
BH 5816 OP,Lux,983,5
BH 7582 NF,Lux,1455,5
BH 7036 HU,Micro,260,2
BH 5154 FG,SUV,632,7
BH 3428 IN,Mini,336,4
BH 8188 TT,Sedan,313,5
BH 5409 JN,Mini,308,4
BH 8747 CR,Lux,1153,5
BH 3384 TK,Micro,285,2
BH 5159 YX,Micro,212,2
BH 0554 OF,Sedan,377,5
BH 8111 DK,Micro,190,2
BH 2832 SN,Mini,357,4
BH 9390 EH,Micro,249,2
BH 5660 TB,SUV,661,7
BH 3551 ND,SUV,607,7
BH 6527 XG,Lux,978,5
BH 9010 QS,Lux,832,5
BH 1757 ZH,Mini,324,4
BH 5040 RX,Sedan,388,5
BH 7434 MT,Lux,852,5
BH 5764 SZ,Lux,1455,5
BH 7303 DG,Micro,298,2
BH 1883 AI,Micro,287,2
BH 8411 AC,Mini,256,4
BH 7255 IX,Lux,1374,5
BH 4062 WH,Lux,1107,5
BH 5334 MO,SUV,682,7
BH 3704 MI,Lux,818,5
BH 6110 HX,Mini,262,4
BH 2739 PO,SUV,552,7
BH 7159 HN,Lux,1055,5
BH 7806 IS,Lux,1321,5
BH 9571 IJ,Sedan,497,5
BH 0563 BN,Mini,234,4
BH 4516 ZZ,Lux,1323,5
BH 2567 FI,Sedan,388,5
BH 2871 LZ,Lux,1389,5
BH 4740 KR,Mini,345,4
BH 5753 UN,SUV,695,7
BH 0116 ID,Mini,388,4
BH 3420 JC,Mini,262,4
BH 9321 OT,SUV,782,7
BH 5883 LC,Mini,279,4
BH 1295 RS,Lux,1097,5
BH 7694 OM,Micro,230,2
BH 8119 JX,Micro,205,2
BH 6517 DF,Sedan,384,5
BH 7307 HE,Micro,247,2
BH 5530 YT,Lux,1584,5
BH 7927 UM,Micro,224,2
BH 2077 IU,Lux,877,5
BH 4346 OI,Mini,319,4
BH 3906 GG,Lux,1469,5
BH 0799 MM,Lux,1118,5
BH 3582 XW,Micro,200,2
BH 7241 UE,Lux,1080,5
BH 4852 XG,Micro,231,2
BH 7189 DX,Micro,164,2
BH 3966 GL,Sedan,491,5
BH 7587 NZ,Mini,238,4
BH 5629 HY,Mini,299,4
BH 0076 LR,Mini,250,4
BH 2391 GQ,Lux,1551,5
BH 9465 RR,Mini,241,4
BH 3513 OK,Lux,1145,5
BH 9486 GX,Sedan,496,5
BH 1574 AN,SUV,416,7
BH 1910 MJ,Lux,1098,5
BH 7171 KJ,Sedan,400,5
BH 3415 LA,SUV,580,7
BH 7207 PL,Mini,265,4
BH 2238 HJ,Mini,260,4
BH 5361 BN,SUV,746,7
BH 1398 PG,Lux,851,5
BH 1799 OU,Mini,376,4
BH 5083 AO,SUV,752,7
BH 1557 VB,Micro,284,2
BH 6893 FI,SUV,600,7
BH 7081 RP,SUV,431,7
BH 6647 II,Lux,1507,5
BH 6466 VD,Mini,398,4
BH 9114 QC,SUV,544,7
BH 3481 CT,Sedan,444,5
BH 9351 HM,Lux,1325,5
BH 8037 BA,Mini,299,4
BH 5136 TW,Lux,1139,5
BH 5327 IH,Lux,1464,5
BH 8749 RP,Mini,232,4
BH 8715 ZK,SUV,655,7
BH 1885 SF,Sedan,333,5
BH 2380 IT,Mini,306,4
BH 2136 LE,Mini,301,4
BH 6306 GM,Mini,245,4
BH 3136 TV,Micro,242,2
BH 3336 NR,Mini,238,4
BH 9686 EH,Sedan,371,5
BH 5000 CH,Mini,265,4
BH 1668 IF,Sedan,440,5
BH 2951 NU,SUV,581,7
BH 8942 BI,Sedan,489,5
BH 2471 FX,Micro,163,2
BH 3740 SY,Sedan,332,5
BH 7451 BZ,Mini,392,4
BH 8857 RD,Micro,161,2
BH 3224 LN,Micro,242,2
BH 6926 UN,SUV,623,7
BH 5300 UC,Lux,846,5
BH 4891 QH,Sedan,440,5
BH 4339 TP,Lux,977,5
BH 6495 VZ,Sedan,352,5
BH 8866 SB,Sedan,407,5
BH 9876 BP,Mini,208,4
BH 6267 PL,SUV,448,7
BH 7880 ZA,Sedan,347,5
BH 3474 BE,Mini,230,4
BH 7992 BK,SUV,575,7
BH 9258 HT,SUV,528,7
BH 6871 OP,Mini,361,4
BH 0569 PQ,Mini,203,4
BH 7960 WB,Lux,990,5
BH 0116 AX,SUV,624,7
BH 8527 KJ,Lux,881,5
BH 4133 CW,Mini,382,4
BH 0090 OB,Sedan,322,5
BH 7089 ST,Lux,1309,5
BH 4484 HJ,Micro,177,2
BH 3435 SJ,Micro,273,2
BH 6230 UL,Sedan,325,5
BH 1613 PK,Mini,374,4
BH 3057 EX,Micro,158,2
BH 3483 EI,Sedan,318,5
BH 1908 OM,SUV,546,7
BH 7050 XO,SUV,626,7
BH 8048 TO,Sedan,398,5
BH 0042 YQ,Mini,264,4
BH 1929 OM,Sedan,415,5
BH 4903 YA,Mini,384,4
BH 3652 BM,SUV,737,7
BH 0993 DD,Lux,816,5
BH 1168 MF,Micro,223,2
BH 3144 DA,Micro,260,2
BH 2550 QO,Sedan,355,5
BH 0677 IG,Micro,278,2
BH 1432 ZF,SUV,662,7
BH 5085 YZ,Mini,286,4
BH 7574 FZ,Micro,204,2
BH 4874 WN,Lux,1115,5
BH 9803 LM,Micro,159,2
BH 7797 UV,Mini,293,4
BH 4244 QN,Micro,282,2
BH 2092 HC,Sedan,374,5
BH 0063 WN,SUV,660,7
BH 8984 JL,SUV,476,7
BH 6047 AW,SUV,538,7
BH 6276 MZ,SUV,521,7
BH 2922 UR,SUV,551,7
BH 2974 HG,Sedan,486,5
BH 4752 WY,Mini,391,4
BH 2015 RB,Sedan,422,5
BH 9236 PK,SUV,594,7
BH 2379 YK,SUV,507,7
BH 1364 VM,Sedan,417,5
BH 2095 JV,Sedan,467,5
BH 2899 OM,SUV,776,7
BH 1926 VT,Mini,358,4
BH 8336 DO,SUV,441,7
BH 0708 EI,Mini,322,4
BH 5004 DX,SUV,487,7
BH 5536 AX,Micro,271,2
BH 0152 DC,Sedan,472,5
BH 5164 TA,SUV,596,7
BH 4822 GP,Sedan,379,5
BH 7246 ZF,Sedan,308,5
BH 5777 FL,Micro,226,2
BH 6337 LA,Mini,397,4
BH 4600 UP,SUV,434,7
BH 5966 OV,SUV,640,7
BH 7009 MQ,SUV,573,7
BH 5455 QL,Sedan,489,5
BH 2801 GP,SUV,700,7
BH 0423 AT,Micro,200,2
BH 7766 JO,Lux,966,5
BH 8769 HS,SUV,417,7
BH 0025 BK,Micro,275,2
BH 7983 HM,SUV,694,7
BH 9207 WL,Micro,192,2
BH 2667 OI,SUV,712,7
BH 1576 NI,SUV,715,7
BH 1520 IR,Sedan,347,5
BH 9535 WL,Mini,257,4
BH 3155 WB,Sedan,424,5
BH 4672 DT,Sedan,455,5
BH 3301 XL,Lux,1333,5
BH 1448 FK,Mini,225,4
BH 6130 SI,Micro,282,2
BH 9699 US,SUV,599,7
BH 0672 YD,SUV,412,7
BH 7886 UN,Micro,169,2
BH 4346 DQ,Mini,254,4
BH 5399 YU,Lux,1337,5
BH 6045 IA,Lux,1002,5
BH 1136 CR,Lux,1065,5
BH 4675 VQ,SUV,604,7
BH 1201 CC,Micro,259,2
BH 1750 JL,Micro,161,2
BH 5405 CY,Lux,1385,5
BH 9090 XG,SUV,629,7
BH 1089 GM,Lux,1306,5
BH 7928 FO,Micro,165,2
BH 1376 XX,Mini,345,4
BH 7546 UU,SUV,480,7
BH 4459 NV,SUV,488,7
BH 0098 WX,SUV,547,7
BH 5897 ET,Lux,1304,5
BH 3583 PN,Lux,898,5
BH 5025 OR,Mini,347,4
BH 4732 FN,Lux,837,5
BH 4949 PG,Sedan,472,5
BH 3760 CU,Lux,1597,5
BH 0425 SS,Mini,314,4
BH 9791 ZH,Sedan,491,5
BH 6679 YQ,Micro,250,2
BH 8549 YD,Lux,1096,5
BH 4752 XP,Micro,173,2
BH 9496 IH,Sedan,411,5
BH 2015 FY,Sedan,307,5
BH 4513 FB,Mini,267,4
BH 2985 YS,Sedan,392,5
BH 4716 LA,Mini,375,4
BH 6578 RF,Micro,155,2
BH 0719 ER,Micro,202,2
BH 0836 WF,SUV,567,7
BH 5996 NX,Micro,168,2
BH 5938 XA,SUV,433,7
BH 1105 AB,Lux,1378,5
BH 1606 MO,Lux,1007,5
BH 9109 XP,Lux,846,5
BH 6776 TG,Mini,261,4
BH 8685 DF,Sedan,460,5
BH 3589 FI,Lux,1292,5
BH 2136 SS,Mini,350,4
BH 6347 QI,Lux,1443,5
BH 1967 FO,SUV,688,7
BH 3566 NJ,Mini,257,4
BH 9703 CT,Sedan,343,5
BH 5082 DP,Sedan,470,5
BH 3717 JY,Micro,212,2
BH 0178 TT,Mini,207,4
BH 1405 VP,Sedan,461,5
BH 6393 BW,SUV,421,7
BH 7453 IU,Sedan,319,5
BH 0311 SV,Sedan,354,5
BH 6291 IP,Sedan,387,5
BH 5186 SI,Lux,1322,5
BH 0050 IL,Lux,1254,5
BH 8602 PV,Micro,173,2
BH 2973 WD,SUV,520,7
BH 9817 ZG,Lux,1216,5
BH 3244 NV,SUV,714,7
BH 0214 BB,Lux,1071,5
BH 2291 CX,Lux,866,5
BH 2099 OF,Mini,350,4
BH 8494 TK,Sedan,390,5
BH 4061 NT,SUV,712,7
BH 6211 VO,Mini,225,4
BH 9056 OH,Micro,187,2
BH 4504 PR,Micro,198,2
BH 4111 JA,Sedan,321,5
BH 2633 WL,SUV,434,7
BH 6700 VG,Mini,343,4
BH 0266 BQ,Lux,1597,5
BH 2239 TQ,Mini,273,4
BH 4573 AN,Mini,271,4
BH 3685 RI,Lux,1270,5
BH 1378 GH,SUV,590,7
BH 8508 RJ,Sedan,482,5
BH 2131 IK,Lux,1317,5
BH 6485 EL,SUV,485,7
BH 4850 OG,SUV,532,7
BH 9271 CJ,Lux,800,5
BH 2646 BY,Micro,224,2
BH 3798 EZ,Sedan,390,5
BH 1069 YG,SUV,426,7
BH 2469 HW,Lux,901,5
BH 0080 YT,Sedan,334,5
BH 8103 AT,Mini,334,4
BH 0747 OD,Micro,284,2
BH 6376 RD,Lux,1358,5
BH 4772 GB,Micro,194,2
BH 9024 EN,SUV,741,7
BH 7467 ET,SUV,414,7
BH 2191 FC,Micro,293,2
BH 0906 TK,Micro,268,2
BH 8077 GZ,Sedan,389,5
BH 0561 PC,Micro,275,2
BH 6538 UW,Micro,176,2
BH 1836 SA,Mini,292,4
BH 2834 II,SUV,467,7
BH 0867 MI,Mini,276,4
BH 4799 DW,Lux,1565,5
BH 0384 NJ,SUV,758,7
BH 1057 AJ,SUV,535,7
BH 9627 SZ,Sedan,351,5
BH 7214 YJ,Lux,1271,5
BH 2897 DR,Lux,1516,5
BH 7286 EM,Lux,867,5
BH 0803 CR,Lux,1582,5
BH 1627 YS,SUV,659,7
BH 4140 VW,SUV,774,7
BH 4627 IL,Sedan,399,5
BH 0448 DE,Mini,389,4
BH 7676 MV,SUV,714,7
BH 3151 BC,SUV,705,7
BH 3325 ZG,Micro,264,2
BH 6704 OR,Micro,299,2
BH 2482 HX,Sedan,449,5
BH 3680 AQ,Sedan,431,5
BH 5464 LY,SUV,611,7
BH 0081 VO,Micro,273,2
BH 3481 SC,Micro,179,2
BH 8568 YM,SUV,507,7
BH 0737 ZG,Mini,274,4
BH 9560 IQ,SUV,646,7
BH 3427 IU,Micro,167,2
BH 3953 NH,Micro,169,2
BH 7869 UK,SUV,659,7
BH 0350 RT,Mini,302,4
BH 4223 XN,Sedan,465,5
BH 4855 LX,SUV,664,7
BH 3146 GW,Sedan,470,5
BH 3751 VJ,SUV,443,7
BH 0592 RZ,Sedan,436,5
BH 8912 ND,SUV,714,7
BH 6961 AI,Sedan,455,5
BH 1136 KX,Lux,1007,5
BH 1695 YC,Mini,385,4
BH 8794 SS,SUV,627,7
BH 4125 HX,Sedan,334,5
BH 4959 PA,Mini,349,4
BH 5574 NC,Micro,214,2
BH 6980 TH,Micro,269,2
BH 6644 EV,Micro,276,2
BH 8866 SO,Sedan,336,5
BH 5227 QG,Micro,157,2
BH 8342 TJ,SUV,491,7
BH 8229 IH,Lux,1206,5
BH 3737 JB,Lux,1582,5
BH 2985 TF,Sedan,334,5
BH 9144 LF,Lux,1053,5
BH 2549 EP,Micro,274,2
BH 2716 XB,SUV,429,7
BH 4308 AJ,Micro,196,2
BH 9543 TN,Micro,274,2
BH 0902 KZ,Sedan,382,5
BH 5422 NS,SUV,731,7
BH 9166 RD,Lux,1286,5
BH 5440 GJ,Lux,1042,5
BH 6507 IJ,SUV,456,7
BH 4875 BB,SUV,408,7
BH 9014 KR,Sedan,348,5
BH 7535 PH,Mini,211,4
BH 5126 GP,Micro,178,2
BH 1437 RR,SUV,529,7
BH 0593 BC,Lux,898,5
BH 4379 OU,Lux,1572,5
BH 4254 KK,Sedan,369,5
BH 7219 RO,Mini,374,4
BH 0473 SJ,Micro,178,2
BH 2745 CT,Lux,939,5
BH 5970 QN,Sedan,330,5
BH 7282 UJ,Mini,217,4
BH 4208 KD,Lux,1508,5
BH 5243 GO,Mini,239,4
BH 5861 IC,Micro,289,2
BH 8561 QP,Mini,207,4
BH 6157 GJ,Mini,296,4
BH 1638 JS,Lux,1114,5
BH 3448 VB,Lux,1176,5
BH 0851 NN,Sedan,456,5
BH 2839 ZK,Mini,204,4
BH 2459 ZP,Sedan,427,5
BH 0078 LS,Sedan,372,5
BH 0392 AY,Micro,210,2
BH 8826 VI,SUV,542,7
BH 8949 EO,SUV,627,7
BH 7212 VF,Micro,265,2
BH 5273 HI,SUV,404,7
BH 4131 OM,Mini,312,4
BH 1909 KU,Mini,391,4
BH 4768 MP,Micro,208,2
BH 2142 MI,Micro,197,2
BH 5951 AR,Micro,229,2
BH 2135 VN,Sedan,344,5
BH 9275 WF,Lux,865,5
BH 4708 TH,Sedan,440,5
BH 4491 GN,Sedan,398,5
BH 7894 SZ,Micro,178,2
BH 6397 TI,SUV,673,7
BH 5423 RU,Sedan,446,5
BH 3982 TC,Micro,202,2
BH 3011 SR,Micro,209,2
BH 7653 RR,SUV,417,7
BH 7774 LE,Mini,319,4
BH 8313 MG,SUV,553,7
BH 9121 NA,Lux,1442,5
BH 8360 VO,Sedan,386,5
BH 8168 AL,Lux,1415,5
BH 4455 ES,Micro,271,2
BH 9912 YQ,Mini,239,4
BH 4377 VK,Micro,289,2
BH 4855 KH,Mini,332,4
BH 5878 LA,Micro,277,2
BH 5758 VH,Micro,254,2
BH 0356 KX,SUV,522,7
BH 1360 RL,Mini,264,4
BH 2122 UY,Mini,398,4
BH 5923 BC,Micro,164,2
BH 8066 IM,Lux,1204,5
BH 8427 EA,SUV,637,7
BH 1888 IX,SUV,400,7
BH 5584 EI,SUV,785,7
BH 1740 ZC,Lux,1478,5
BH 5534 GZ,Lux,1182,5
BH 2302 YM,SUV,720,7
BH 0615 PG,Lux,916,5
BH 2899 JP,Micro,216,2
BH 3052 WK,SUV,492,7
BH 5761 WW,Mini,387,4
BH 9285 MN,SUV,480,7
BH 4342 CU,Micro,213,2
BH 8694 EY,Lux,1572,5
BH 8087 KA,Micro,254,2
BH 7559 MN,Lux,1044,5
BH 0509 NG,Sedan,353,5
BH 5758 QH,Sedan,309,5
BH 4611 KJ,Sedan,438,5
BH 2810 LV,Sedan,431,5
BH 6999 VZ,SUV,646,7
BH 7638 NQ,SUV,490,7
BH 9286 AO,Mini,352,4
BH 6976 QR,SUV,586,7
BH 6600 AZ,Lux,1431,5
BH 5036 FJ,SUV,700,7
BH 7292 GB,Mini,339,4
BH 1734 KI,SUV,612,7
BH 1411 GC,Lux,1574,5
BH 5937 BD,Lux,1597,5
BH 7203 LD,Mini,311,4
BH 1273 XL,Sedan,463,5
BH 3952 MB,Mini,277,4
BH 7334 IS,Mini,346,4
BH 7508 MF,Sedan,431,5
BH 1962 SX,Lux,936,5
BH 5858 MX,Lux,967,5
BH 4089 RE,Lux,1557,5
BH 4453 ZW,Sedan,386,5
BH 3616 LE,Micro,169,2
BH 7315 DM,Sedan,370,5
BH 2673 FV,Lux,836,5
BH 0590 BR,SUV,499,7
BH 0880 EU,SUV,563,7
BH 0473 ZP,Sedan,326,5
BH 0380 CK,Lux,1018,5
BH 8919 JQ,Micro,230,2
BH 9792 IP,Sedan,429,5
BH 3038 ZW,Lux,1563,5
BH 2610 WT,Sedan,484,5
BH 6647 PI,Mini,332,4
BH 4463 YK,SUV,455,7
BH 1402 PG,Mini,248,4
BH 0525 BR,Micro,158,2
BH 8122 XT,SUV,596,7
BH 2068 NB,Mini,265,4
BH 7198 OK,Sedan,315,5
BH 9812 OS,Micro,155,2
BH 1659 ME,SUV,561,7
BH 1468 ZF,Lux,1381,5
BH 5539 PT,Sedan,411,5
BH 1488 MN,Micro,228,2
BH 2371 LF,Mini,370,4
BH 3459 RM,Mini,249,4
BH 5285 XL,Micro,191,2
BH 5682 IA,Lux,960,5
BH 8841 FK,Micro,234,2
BH 2494 MK,Lux,1269,5
BH 4028 DN,Sedan,311,5
BH 4181 LI,Sedan,394,5
BH 8805 SS,Lux,1305,5
BH 4274 QE,Mini,207,4
BH 0430 UV,Lux,1131,5
BH 5793 AA,SUV,769,7
BH 2179 EU,Mini,206,4
BH 0909 BS,SUV,419,7
BH 0157 ZF,Sedan,487,5
BH 1663 YZ,SUV,510,7
BH 9861 ZY,Lux,1048,5
BH 1773 ZS,SUV,551,7
BH 4868 MH,Sedan,490,5
BH 2589 RT,Micro,167,2
BH 6619 ER,Mini,400,4
BH 3560 BP,Micro,272,2
BH 1157 DS,Sedan,495,5
BH 5662 EV,Mini,353,4
BH 5958 IZ,Mini,294,4
BH 1048 FW,SUV,740,7
BH 8301 EK,Micro,183,2
BH 7781 FW,Mini,247,4
BH 5530 BI,Lux,1473,5
BH 0319 RN,Mini,320,4
BH 2665 LJ,SUV,640,7
BH 6858 NR,Micro,256,2
BH 0661 YK,Mini,362,4
BH 4788 RL,Lux,970,5
BH 6306 TK,Lux,993,5
BH 9182 CO,Sedan,425,5
BH 9037 ID,Micro,239,2
BH 5294 II,SUV,651,7
BH 0782 GE,Lux,1423,5
BH 9756 CK,SUV,494,7
BH 9522 KY,SUV,458,7
BH 0376 KR,Sedan,309,5
BH 4590 PY,Mini,236,4
BH 2972 HU,Lux,1036,5
BH 3983 AB,Sedan,497,5
BH 7112 HW,Lux,1546,5
BH 6660 RL,Micro,165,2
BH 4444 XJ,Mini,224,4
BH 3179 GH,SUV,722,7
BH 7703 RI,SUV,630,7
BH 6659 OF,Sedan,309,5
BH 0786 JA,Sedan,403,5
BH 6592 RG,SUV,666,7
BH 2868 UO,Micro,232,2
BH 9871 FN,SUV,523,7
BH 9983 RZ,Mini,265,4
BH 0570 QJ,Sedan,420,5
BH 9157 FV,Mini,325,4
BH 5724 UK,Mini,284,4
BH 4034 UI,SUV,696,7
BH 1890 SE,Sedan,428,5
BH 2487 EN,Micro,198,2
BH 4838 BU,Lux,1284,5
BH 6211 TF,Mini,272,4
BH 6336 BP,Mini,296,4
BH 6046 OP,SUV,463,7
BH 1536 MC,Lux,1040,5
