Train_ID,Train_Name,Departure_ID,Arrival_ID,Departure_Time,Arrival_Time,Platform,Duration
54,Dhanbad Junction - Agra Cantt Railway Station Express,177,80,2023-09-10 13:17:59,2023-09-11 03:46:59,1,869
55,Thoothukudi Junction - Kazipet Junction Express,325,311,2023-09-11 03:23:10,2023-09-11 17:13:10,6,830
56,Begusarai Railway Station - Pali Express,169,110,2023-10-08 18:02:40,2023-10-09 04:25:40,2,623
57,Banihal Railway Station - Bhusaval Junction Express,64,225,2023-09-20 15:20:51,2023-09-21 05:53:51,4,873
58,Kanjirappalli Railway Station - Kakapora Railway Station Express,372,50,2023-09-22 14:16:08,2023-09-23 04:13:08,1,837
59,Aligarh Junction Railway Station - Bargarh Road Railway Station Express,90,353,2023-10-28 12:22:10,2023-10-29 01:33:10,5,791
60,Chittorgarh Junction - Hyderabad Deccan Nampally Express,108,296,2023-09-18 08:26:13,2023-09-18 21:50:13,3,804
61,Puri Railway Station - Thane Railway Station Express,419,220,2023-10-20 09:43:03,2023-10-21 00:19:03,1,876
62,Berhampore Court Railway Station - Diphu Railway Station Express,249,285,2023-09-06 00:58:21,2023-09-06 15:37:21,4,879
63,Angamaly Railway Station - Bhatapara Railway Station Express,368,341,2023-09-21 05:04:29,2023-09-21 14:04:29,5,540
64,Katra Railway Station - Kota Junction Express,48,101,2023-09-16 23:52:30,2023-09-17 13:18:30,4,806
65,Vivek Vihar Railway Station - Dharwad Railway Station Express,36,269,2023-09-03 14:06:38,2023-09-04 05:11:38,7,905
66,Brahmapur Railway Station - Dudhsagar Railway Station Express,423,413,2023-10-09 00:05:28,2023-10-09 16:59:28,8,1014
67,Bhadravati Railway Station - Secunderabad Junction Express,270,295,2023-09-09 17:35:02,2023-09-10 08:54:02,10,919
68,Hazaribagh Road Railway Station - Kanpur Central Railway Station Express,180,78,2023-09-30 21:43:16,2023-10-01 07:02:16,1,559
69,Dudhsagar Railway Station - Kangra Railway Station Express,413,121,2023-09-24 00:14:54,2023-09-24 17:59:54,1,1065
70,Nizamabad Junction - Pathankot Junction Express,299,202,2023-09-14 12:43:13,2023-09-15 03:20:13,7,877
71,Bhatapara Railway Station - Hassan Railway Station Express,341,262,2023-09-28 05:35:34,2023-09-28 15:43:34,1,608
72,Erode Junction - Kanjirappalli Railway Station Express,323,372,2023-10-19 05:49:17,2023-10-19 22:36:17,7,1007
73,Howrah Junction - Firozpur Cantt. Railway Station Express,244,208,2023-09-23 15:13:03,2023-09-24 00:59:03,9,586
74,Guntur Junction - Deoghar Railway Station Express,439,184,2023-09-07 06:38:17,2023-09-07 19:32:17,5,774
75,Narwal Railway Station - Saharsa Junction Express,60,164,2023-10-27 18:00:41,2023-10-28 04:00:41,7,600
76,Cuddalore Junction - Purnia Junction Express,333,143,2023-09-23 15:40:38,2023-09-24 03:53:38,4,733
77,Korba Railway Station - Haripad Railway Station Express,340,370,2023-09-17 10:05:44,2023-09-18 00:36:44,1,871
78,Nekonda Railway Station - Tonk Express,314,116,2023-10-19 22:15:58,2023-10-20 08:22:58,1,607
79,Nellore Railway Station - Patel Nagar Railway Station Express,444,42,2023-10-19 12:53:14,2023-10-19 21:59:14,1,546
80,Kamakhya Junction - Muzaffarpur Junction Express,288,159,2023-10-14 21:10:18,2023-10-15 06:10:18,8,540
81,Ongole Railway Station - Raigarh Railway Station Express,445,339,2023-10-02 01:20:41,2023-10-02 14:38:41,9,798
82,Vadodara Junction - Patna Junction Express,378,157,2023-10-20 12:30:54,2023-10-21 04:49:54,7,979
83,Kamakhya Junction - Sakti Railway Station Express,288,351,2023-09-03 08:48:25,2023-09-04 01:39:25,2,1011
84,Nizamabad Junction - Anand Junction Express,299,385,2023-10-22 12:01:50,2023-10-23 04:28:50,6,987
85,Calicut Mini (Beypore Railway Station - Samastipur Junction Express,376,173,2023-09-04 08:50:47,2023-09-04 22:44:47,6,834
86,Kanjirappalli Railway Station - Anantnag Railway Station Express,372,69,2023-10-03 00:19:31,2023-10-03 11:30:31,9,671
87,Bhilwara - Kudchade Railway Station Express,106,407,2023-09-03 12:20:19,2023-09-04 01:14:19,4,774
88,Bikaner Junction - Rayagada Railway Station Express,102,428,2023-10-22 20:54:21,2023-10-23 11:12:21,5,858
89,Jagtial Railway Station - Tumkur Railway Station Express,310,266,2023-10-05 00:35:57,2023-10-05 17:10:57,7,995
90,Bhavnagar Terminus - Vapi Railway Station Express,381,388,2023-09-13 09:37:24,2023-09-13 22:45:24,8,788
91,Varanasi Junction Railway Station - Goraul Railway Station Express,79,171,2023-09-01 04:32:50,2023-09-01 21:39:50,2,1027
92,Daltonganj Railway Station - Ara Junction Express,193,147,2023-10-14 04:26:37,2023-10-14 19:20:37,6,894
93,Ayodhya Junction Railway Station - Nalanda Junction Express,93,142,2023-09-14 01:44:24,2023-09-14 13:30:24,9,706
94,Durg Junction - Goraul Railway Station Express,338,171,2023-10-05 18:33:51,2023-10-06 07:13:51,6,760
95,Kayamkulam Junction - Vizianagaram Junction Express,371,447,2023-09-27 09:34:46,2023-09-28 01:27:46,2,953
96,Chennai Central Railway Station - Panipat Junction Express,316,16,2023-09-25 09:04:08,2023-09-25 22:35:08,1,811
97,Jiribam Railway Station - Kolkata Howrah Junction Express,315,236,2023-09-26 17:40:56,2023-09-27 11:19:56,9,1059
98,Jharsuguda Junction - Pragati Maidan Railway Station Express,424,37,2023-10-09 07:42:23,2023-10-10 01:07:23,9,1045
99,Chandar Railway Station - Hanumangarh Junction Express,411,115,2023-09-29 07:44:28,2023-09-29 18:33:28,3,649
100,Calicut Mini (Beypore Railway Station - Rayagada Railway Station Express,376,428,2023-10-25 23:36:49,2023-10-26 10:20:49,9,644
101,Tirunelveli Junction - Mysuru Junction Express,322,257,2023-10-21 10:54:45,2023-10-22 00:21:45,7,807
102,Kazipet Junction - Una Himachal Railway Station Express,311,119,2023-09-14 10:22:46,2023-09-15 03:50:46,2,1048
103,Barpeta Road Railway Station - Ankleshwar Junction Express,282,396,2023-09-28 18:55:28,2023-09-29 09:37:28,9,882
104,Mumbai Lokmanya Tilak Terminus - Gandhidham Junction Express,217,391,2023-10-25 03:46:42,2023-10-25 16:08:42,4,742
105,Nalanda Junction - Narela Railway Station Express,142,39,2023-09-16 14:04:15,2023-09-17 02:18:15,6,734
106,Tonk - Nurpur Road Railway Station Express,116,125,2023-10-11 13:32:07,2023-10-12 05:15:07,6,943
107,Howrah Junction - Champa Junction Express,242,344,2023-09-18 23:12:52,2023-09-19 10:09:52,9,657
108,Nagercoil Junction - Nagrota Railway Station Express,327,127,2023-10-14 11:58:20,2023-10-14 21:26:20,5,568
109,Karnal - Tirunelveli Junction Express,4,322,2023-10-02 22:27:48,2023-10-03 14:09:48,6,942
110,Shiroda Railway Station - Navsari Railway Station Express,416,394,2023-09-16 08:14:15,2023-09-16 22:57:15,4,883
111,Jagtial Railway Station - Jammu Tawi Railway Station Express,310,46,2023-10-26 06:22:12,2023-10-26 18:51:12,5,749
112,Thoothukudi Junction - Mathura Junction Railway Station Express,325,91,2023-09-10 05:17:56,2023-09-10 17:37:56,2,740
113,Peddapalli Railway Station - Nalanda Junction Express,304,162,2023-09-11 08:14:49,2023-09-11 19:36:49,5,682
114,Raichur Railway Station - Bhongir Railway Station Express,264,308,2023-09-29 17:43:54,2023-09-30 09:36:54,3,953
115,Bhadravati Railway Station - Ara Junction Express,270,167,2023-10-20 21:57:51,2023-10-21 09:43:51,8,706
116,Lucknow Charbagh Railway Station - Mansa Railway Station Express,77,215,2023-09-19 18:13:39,2023-09-20 08:31:39,8,858
117,Ayodhya Junction Railway Station - Saharsa Junction Express,93,164,2023-09-10 20:29:18,2023-09-11 10:18:18,10,829
118,Jamshedpur Tatanagar Junction - Chikkamagaluru Railway Station Express,178,274,2023-10-06 12:19:24,2023-10-07 03:37:24,3,918
119,Qazigund Railway Station - Madurai Junction Express,56,319,2023-09-29 06:05:37,2023-09-29 16:40:37,5,635
120,Bhubaneswar Railway Station - Ludhiana Junction Express,417,204,2023-10-25 15:40:25,2023-10-26 08:46:25,6,1026
121,Baripada Railway Station - Vasco da Gama Railway Station Express,430,398,2023-10-16 18:33:11,2023-10-17 07:03:11,4,750
122,Dalli Rajhara Railway Station - Hanumangarh Junction Express,348,115,2023-10-02 20:22:42,2023-10-03 06:33:42,1,611
123,Sopore Railway Station - Asansol Junction Express,53,245,2023-09-13 15:18:06,2023-09-14 02:21:06,9,663
124,Goraul Railway Station - Sarai Rohilla Railway Station Express,151,40,2023-09-27 15:25:26,2023-09-28 08:46:26,8,1041
125,Lucknow Charbagh Railway Station - Vadodara Junction Express,77,378,2023-09-22 22:10:55,2023-09-23 11:22:55,3,792
126,Chennai Central Railway Station - Saharsa Junction Express,316,164,2023-10-15 05:49:34,2023-10-15 16:43:34,9,654
127,Kalyan Junction - Udaipur City Express,224,99,2023-10-02 09:25:37,2023-10-02 22:26:37,4,781
128,Kendujhargarh Railway Station - Guler Railway Station Express,427,126,2023-09-27 05:01:42,2023-09-27 20:16:42,7,915
129,Ambala City - Darbhanga Junction Express,2,141,2023-09-22 20:07:55,2023-09-23 05:28:55,7,561
130,Sarai Rohilla Railway Station - Nuapada Road Railway Station Express,40,435,2023-09-27 04:30:50,2023-09-27 15:08:50,8,638
131,Kendujhargarh Railway Station - Bhuj Railway Station Express,427,392,2023-10-06 15:51:38,2023-10-07 01:05:38,7,554
132,Dongargarh Railway Station - Gulbarga Railway Station Express,346,261,2023-10-17 16:33:33,2023-10-18 03:43:33,10,670
133,Kota Junction - Yamunanagar Jagadhri Express,101,14,2023-10-14 18:09:04,2023-10-15 04:19:04,9,610
134,New Bongaigaon Junction - Berhampore Court Railway Station Express,281,249,2023-09-04 20:16:45,2023-09-05 10:19:45,3,843
135,Hazaribagh Road Railway Station - Shakurbasti Railway Station Express,187,38,2023-09-23 08:42:42,2023-09-23 23:44:42,8,902
136,Darbhanga Junction - Kangra Railway Station Express,141,121,2023-10-11 13:50:09,2023-10-12 03:16:09,2,806
137,Vadodara Junction - Sanjuje Da Areyal Railway Station Express,378,403,2023-09-26 14:50:58,2023-09-27 08:22:58,10,1052
138,Patna Junction - Howrah Junction Express,137,244,2023-09-01 22:14:37,2023-09-02 09:29:37,3,675
139,Kanchipuram Railway Station - Shakurbasti Railway Station Express,326,38,2023-10-10 03:59:46,2023-10-10 19:47:46,8,948
140,Nadiad Junction - Balli Railway Station Express,387,405,2023-09-12 11:53:38,2023-09-12 22:44:38,1,651
141,Narwal Railway Station - Sambalpur Junction Express,75,420,2023-10-12 10:57:24,2023-10-12 23:09:24,10,732
142,Nagaur - Daltonganj Railway Station Express,113,193,2023-10-07 17:11:17,2023-10-08 05:06:17,1,715
143,Sultanpur Junction Railway Station - Agra Cantt Railway Station Express,95,80,2023-10-07 06:34:32,2023-10-07 18:16:32,5,702
144,Ambala City - Barauni Junction Express,13,156,2023-09-13 07:59:59,2023-09-13 20:33:59,3,754
145,Tinsukia Railway Station - Nalanda Junction Express,278,142,2023-10-28 04:25:50,2023-10-28 18:20:50,7,835
146,Anantnag Railway Station - Koppal Railway Station Express,54,271,2023-10-12 23:46:52,2023-10-13 15:37:52,8,951
147,Junagadh Junction - Cuttack Railway Station Express,383,418,2023-09-30 22:07:44,2023-10-01 08:37:44,3,630
148,Kacheguda Railway Station - Cuddalore Junction Express,297,333,2023-09-23 19:53:04,2023-09-24 07:34:04,3,701
149,Sancoale Railway Station - Shoranur Junction Express,404,375,2023-09-08 19:41:37,2023-09-09 05:19:37,5,578
150,Lingampet-Jagityal Railway Station - Nadiad Junction Express,312,387,2023-10-12 01:15:50,2023-10-12 12:33:50,3,678
151,Mariani Junction - Hajipur Junction Express,283,150,2023-09-26 00:44:58,2023-09-26 15:39:58,2,895
152,Patna Junction - Rajkot Railway Station Express,157,380,2023-10-06 14:52:28,2023-10-07 07:47:28,4,1015
153,Vasco da Gama Railway Station - Vapi Railway Station Express,398,388,2023-09-06 05:51:11,2023-09-06 19:01:11,9,790
154,Nagargao Railway Station - Gorakhpur Junction Railway Station Express,415,84,2023-10-10 20:13:06,2023-10-11 05:27:06,5,554
155,Patan Railway Station - Barddhaman Junction Express,386,250,2023-10-23 18:55:40,2023-10-24 12:20:40,3,1045
156,Jhansi Junction Railway Station - Ludhiana Junction Express,85,197,2023-10-07 11:10:12,2023-10-08 05:01:12,8,1071
157,Dumka Railway Station - Baijnath Paprola Railway Station Express,194,123,2023-10-26 16:29:24,2023-10-27 04:18:24,2,709
158,Alappuzha Railway Station - Hisar Junction Express,363,18,2023-10-17 22:59:03,2023-10-18 15:03:03,2,964
159,Balasore Railway Station - Gorakhpur Junction Railway Station Express,422,84,2023-10-04 00:46:45,2023-10-04 17:05:45,8,979
160,Lethpora Railway Station - Ludhiana Junction Express,59,204,2023-10-13 13:45:03,2023-10-14 05:27:03,9,942
161,Hassan Railway Station - Dabolim Railway Station Express,262,406,2023-10-12 21:43:10,2023-10-13 09:53:10,8,730
162,Pattan Railway Station - Anuppur Junction Express,76,354,2023-10-05 13:59:34,2023-10-06 05:39:34,1,940
163,Nurpur Road Railway Station - Mumbai Lokmanya Tilak Terminus Express,125,217,2023-10-23 18:50:59,2023-10-24 07:49:59,7,779
164,Jamalpur Junction - Pune Junction Express,172,218,2023-09-18 09:03:33,2023-09-18 22:39:33,4,816
165,Nalgonda Railway Station - Sopore Railway Station Express,306,68,2023-10-03 14:01:02,2023-10-04 05:10:02,4,909
166,Pampore Railway Station - Hazaribagh Town Railway Station Express,52,190,2023-09-24 21:18:59,2023-09-25 10:09:59,8,771
167,Navsari Railway Station - Chirala Railway Station Express,394,451,2023-10-04 13:19:26,2023-10-05 01:40:26,2,741
168,Kakapora Railway Station - Daltonganj Railway Station Express,65,193,2023-10-22 03:58:47,2023-10-22 21:40:47,10,1062
169,Alwar Junction - Kozhikode Railway Station Express,103,359,2023-10-27 07:48:03,2023-10-28 01:19:03,4,1051
170,New Delhi Railway Station - Bhusaval Junction Express,26,225,2023-10-10 14:43:50,2023-10-11 05:21:50,8,878
171,Hanumangarh Junction - Nalanda Junction Express,115,162,2023-10-18 03:30:31,2023-10-18 21:25:31,7,1075
172,Ongole Railway Station - Patna Junction Express,445,137,2023-09-05 15:57:55,2023-09-06 06:16:55,1,859
173,Chennai Central Railway Station - Hyderabad Deccan Nampally Express,316,296,2023-10-27 06:01:19,2023-10-27 18:14:19,2,733
174,Okhla Railway Station - Jodhpur Junction Express,34,98,2023-09-07 14:08:33,2023-09-08 07:23:33,5,1035
175,Patiala Railway Station - Nellore Railway Station Express,199,444,2023-09-09 10:02:56,2023-09-10 01:46:56,5,944
176,Chandrapura Railway Station - Panipat Junction Express,195,16,2023-10-26 15:57:57,2023-10-27 08:15:57,7,978
177,Kanpur Central Railway Station - Katihar Junction Express,78,168,2023-09-28 18:53:49,2023-09-29 12:15:49,10,1042
178,Saharsa Junction - Bapudham Motihari Express,144,154,2023-10-02 17:41:07,2023-10-03 11:13:07,3,1052
179,Curchorem Railway Station - Nashik Road Railway Station Express,409,221,2023-09-19 14:55:53,2023-09-20 06:30:53,3,935
180,Ongole Railway Station - Hisar Junction Express,445,7,2023-10-22 21:08:34,2023-10-23 09:22:34,6,734
181,Hospet Junction - Panipat Junction Express,273,16,2023-10-24 02:14:18,2023-10-24 15:14:18,4,780
182,Buxar Railway Station - Delhi Cantt Railway Station Express,166,32,2023-10-09 21:18:23,2023-10-10 08:47:23,1,689
183,Thivim Railway Station - Hisar Junction Express,399,7,2023-10-23 13:17:27,2023-10-24 01:52:27,1,755
184,Shivaji Bridge Railway Station - Bilasipara Junction Express,41,290,2023-09-21 21:11:47,2023-09-22 10:12:47,4,781
185,Delhi Shahdara Railway Station - Angul Railway Station Express,35,426,2023-09-09 16:33:43,2023-09-10 03:24:43,10,651
186,Durgapur Railway Station - Warangal Railway Station Express,247,300,2023-09-22 14:38:54,2023-09-23 04:11:54,6,813
187,Chennai Egmore Railway Station - Korba Railway Station Express,317,340,2023-09-11 06:54:30,2023-09-12 00:36:30,2,1062
188,Baijnath Paprola Railway Station - Thivim Railway Station Express,123,399,2023-10-06 11:06:30,2023-10-07 03:41:30,5,995
189,Berhampore Court Railway Station - Kakinada Town Railway Station Express,249,443,2023-10-20 23:56:03,2023-10-21 09:06:03,8,550
190,Kangra Railway Station - Katihar Junction Express,121,148,2023-09-15 05:02:10,2023-09-15 18:56:10,6,834
191,Karnal - Nellore Railway Station Express,15,444,2023-10-27 06:57:58,2023-10-27 17:15:58,7,618
192,Hajipur Junction - Koppal Railway Station Express,150,271,2023-10-04 04:19:07,2023-10-04 13:35:07,5,556
193,Sambalpur Junction - Hazaribagh Road Railway Station Express,420,187,2023-09-28 03:20:05,2023-09-28 15:32:05,9,732
194,Kapurthala Railway Station - Guntur Junction Express,211,439,2023-10-04 03:38:44,2023-10-04 15:00:44,4,682
195,Kacheguda Railway Station - Pali Express,297,110,2023-10-15 19:08:54,2023-10-16 07:44:54,6,756
196,Asansol Junction - Jaipur Junction Express,238,97,2023-10-26 15:37:26,2023-10-27 05:40:26,9,843
197,Dwarka Railway Station - Tonk Express,393,116,2023-09-10 19:27:24,2023-09-11 13:10:24,6,1063
198,Saharsa Junction - Banihal Railway Station Express,144,49,2023-10-17 16:10:22,2023-10-18 03:39:22,2,689
199,Udhampur Railway Station - Janjgir Naila Railway Station Express,47,347,2023-09-12 11:44:27,2023-09-13 02:15:27,9,871
200,Dhenkanal Railway Station - Baijnath Paprola Railway Station Express,433,123,2023-10-11 17:12:14,2023-10-12 07:41:14,5,869
201,Mansa Railway Station - Howrah Junction Express,215,251,2023-09-16 18:57:38,2023-09-17 11:23:38,7,986
202,Katra Railway Station - Vadodara Junction Express,48,378,2023-09-09 22:42:50,2023-09-10 09:31:50,10,649
203,Pampore Railway Station - Sultanpur Junction Railway Station Express,67,95,2023-10-29 20:40:51,2023-10-30 11:52:51,6,912
204,Asansol Junction - Banihal Railway Station Express,238,49,2023-10-06 16:57:29,2023-10-07 04:02:29,4,665
205,Salem Junction - Shivamogga Town Express,321,265,2023-10-14 22:48:14,2023-10-15 13:25:14,10,877
206,Tonk - Barsi Takht Railway Station Express,116,129,2023-10-24 01:04:48,2023-10-24 18:41:48,9,1057
207,Gevra Road Railway Station - Bhusaval Junction Express,349,225,2023-09-28 07:34:20,2023-09-29 01:20:20,5,1066
208,Sasaram Railway Station - Barauni Junction Express,155,156,2023-10-11 01:08:55,2023-10-11 12:09:55,2,661
209,Kendujhargarh Railway Station - Tonk Express,427,116,2023-09-21 10:34:54,2023-09-22 03:59:54,6,1045
210,Srinagar Railway Station - New Bongaigaon Junction Express,70,281,2023-10-27 06:41:43,2023-10-27 23:56:43,7,1035
211,Summer Hill Railway Station - Jalandhar City Railway Station Express,134,198,2023-10-28 22:25:50,2023-10-29 10:56:50,9,751
212,Dalli Rajhara Railway Station - Ernakulam Junction Express,348,358,2023-10-08 20:25:57,2023-10-09 06:12:57,5,587
213,Hubballi Junction - Mariani Junction Express,258,293,2023-10-21 18:11:04,2023-10-22 11:10:04,4,1019
214,Darbhanga Junction - Guntur Junction Express,161,439,2023-10-06 14:23:03,2023-10-07 08:01:03,4,1058
215,Darbhanga Junction - Siliguri Junction Express,161,246,2023-09-07 11:18:08,2023-09-08 00:01:08,1,763
216,Mysuru Junction - Raipur Junction Express,257,336,2023-09-14 15:36:48,2023-09-15 01:33:48,10,597
217,Sambalpur Junction - Shahdara Junction Railway Station Express,420,31,2023-10-05 20:32:17,2023-10-06 08:58:17,6,746
218,Kottayam Railway Station - Darbhanga Junction Express,361,161,2023-09-24 08:03:55,2023-09-24 17:03:55,6,540
219,Vivek Vihar Railway Station - Chennai Egmore Railway Station Express,36,317,2023-09-06 14:16:01,2023-09-07 04:53:01,1,877
220,Mandawali-Chander Vihar Railway Station - New Bongaigaon Junction Express,43,281,2023-10-10 22:34:39,2023-10-11 14:28:39,5,954
221,Sanjuje Da Areyal Railway Station - Ramanathapuram Railway Station Express,403,329,2023-09-12 22:10:54,2023-09-13 07:50:54,2,580
222,Thrissur Railway Station - Sikar Junction Express,360,105,2023-10-26 12:42:11,2023-10-27 03:26:11,9,884
223,Mansa Railway Station - Dhule Railway Station Express,215,231,2023-09-13 02:55:20,2023-09-13 15:25:20,8,750
224,New Delhi Railway Station - Idukki Railway Station Express,26,373,2023-09-21 21:33:13,2023-09-22 12:32:13,5,899
225,Solapur Railway Station - Hisar Junction Express,223,18,2023-10-05 07:42:29,2023-10-05 21:07:29,2,805
226,Dongargarh Railway Station - Prayagraj Junction Railway Station Express,346,81,2023-10-18 20:57:08,2023-10-19 09:30:08,7,753
227,Dalli Rajhara Railway Station - Bharuch Junction Express,348,384,2023-09-23 04:33:43,2023-09-23 17:20:43,8,767
228,Jalandhar City Railway Station - Durgapur Railway Station Express,205,240,2023-10-10 04:49:43,2023-10-10 20:40:43,1,951
229,Jiribam Railway Station - Ranaghat Junction Express,315,255,2023-09-25 23:01:05,2023-09-26 13:12:05,3,851
230,Dongargarh Railway Station - Bathinda Junction Express,346,207,2023-09-23 03:50:58,2023-09-23 16:21:58,8,751
231,Chengannur Railway Station - Bargarh Road Railway Station Express,369,353,2023-10-06 05:59:30,2023-10-06 19:40:30,8,821
232,Khammam Railway Station - Yamunanagar Jagadhri Express,301,14,2023-09-01 15:52:35,2023-09-02 04:18:35,7,746
