Bus_ID,Bus_Name,Bus_Number_Plate,Bus_Color,Bus_Brand,Class,Departure_Time,Arrival_Time,Duration,Price,Origin_ID,Destination_ID,Capacity
22,Mathura Bus Terminal - Chitkul Bus Stop,BH 8850 GP,Yellow,VOLVO BUSES,AC Sleeper,2023-09-17 15:46:54,2023-09-18 03:40:54,714,500,113,178,49
23,Alwar Bus Depot - Hyderabad MGBS - Mahatma Gandhi Bus Station,BH 1904 YD,Grey,ASHOK LEYLAND,Non AC Sleeper,2023-10-11 13:09:42,2023-10-11 22:28:42,559,351,67,321,36
24,Tumakuru Bus Stand - Canacona Bus Stand,BH 3855 IE,Pink,ASHOK LEYLAND,AC Sleeper,2023-10-21 05:51:02,2023-10-21 15:35:02,584,716,229,401,55
25,Alwar Bus Depot - Jaipur Central Bus Station,BH 4645 LX,White,FORCE MOTORS,AC Sleeper,2023-10-26 16:20:47,2023-10-27 03:37:47,677,702,47,61,43
26,Kanhangad Bus Terminal - Kurukshetra Junction,BH 4697 CJ,White,MAHINDRA & MAHINDRA,Non AC Executive,2023-10-07 07:51:39,2023-10-07 16:58:39,547,778,279,27,41
27,Nashik Central Bus Stand - Havelock Island Bus Stop,BH 2295 CM,Green,SOLARIS,AC Executive,2023-09-15 05:01:41,2023-09-15 15:29:41,628,1386,184,431,34
28,Nanded Bus Stand - Bagalkot Bus Station,BH 4002 BM,White,SOLARIS,AC Executive,2023-10-15 15:21:39,2023-10-16 02:04:39,643,1146,194,236,40
29,Haveri Bus Stand - Kadapa Bus Stand,BH 5073 PW,Grey,EICHER MOTORS,AC Sleeper,2023-10-10 19:34:01,2023-10-11 06:34:01,660,642,237,349,52
30,Nashik Central Bus Stand - Darjeeling Bus Stop,BH 4384 KF,Brown,MERCEDES BENZ,Non AC Executive,2023-10-11 17:40:35,2023-10-12 04:43:35,663,757,184,391,44
31,Kurukshetra Junction - Pathankot Bus Stop,BH 4204 SG,Green,SOLARIS,AC Sleeper,2023-09-19 17:11:01,2023-09-20 04:13:01,662,636,27,307,43
32,Buxar Bus Stand - Puri Bus Terminal,BH 5846 XF,Black,BLUE BIRD CORPORATION,AC Sleeper,2023-09-21 14:09:40,2023-09-22 01:18:40,669,585,217,458,51
33,Agra ISBT - Kishtwar Bus Terminal,BH 9631 VU,Green,TATA MOTORS,Non AC Sleeper,2023-10-07 16:59:04,2023-10-08 01:44:04,525,325,104,153,32
34,Palakkad KSRTC Bus Stand - Motihari Bus Stand,BH 0972 IM,Yellow,BLUE BIRD CORPORATION,AC Executive,2023-10-04 07:51:22,2023-10-04 18:59:22,668,1427,267,210,32
35,Khargone Bus Stand - Ooty Bus Stand,BH 3892 XD,Purple,BYD COMPANY LTD,Non AC Executive,2023-09-24 11:35:41,2023-09-24 19:42:41,487,839,97,139,36
36,Chennai Mofussil Bus Terminus - Wayanad Bus Depot,BH 7256 MH,Blue,BYD COMPANY LTD,AC Executive,2023-09-21 17:04:23,2023-09-22 04:02:23,658,1246,121,273,43
37,Keonjhar Bus Station - Kishangarh Stand,BH 4569 XY,Purple,MAHINDRA & MAHINDRA,AC Sleeper,2023-10-19 18:45:01,2023-10-20 06:20:01,695,514,466,78,51
38,Kupwara Bus Stand - Madurai Mattuthavani,BH 6372 OE,Pink,FORCE MOTORS,AC Executive,2023-09-07 05:03:46,2023-09-07 13:19:46,496,1271,148,124,49
39,Valpoi Bus Stand - Havelock Island Bus Stop,BH 0937 RR,Brown,MAHINDRA & MAHINDRA,AC Sleeper,2023-09-09 14:38:46,2023-09-09 23:16:46,518,573,402,431,40
40,Purnia Bus Depot - Thrissur Sakthan Thampuran Bus Stand,BH 3224 TV,Blue,BYD COMPANY LTD,Non AC Sleeper,2023-10-24 05:52:14,2023-10-24 14:18:14,506,262,206,264,38
41,Jamtara Bus Station - Madhubani Bus Stand,BH 0440 RZ,Green,VOLVO BUSES,AC Executive,2023-10-05 23:12:49,2023-10-06 10:48:49,696,1413,251,219,34
42,Kota Bus Stand - Varanasi Cantt,BH 2737 LG,Yellow,MAHINDRA & MAHINDRA,Non AC Executive,2023-10-17 22:53:52,2023-10-18 10:15:52,682,832,45,103,47
43,Hubballi Bus Terminal - Sirmaur Bus Stand,BH 0867 AA,Purple,SOLARIS,AC Sleeper,2023-09-24 00:35:53,2023-09-24 11:49:53,674,742,223,172,53
44,Bemetara Bus Stand - Deoghar Bus Stand,BH 3286 IZ,Purple,ASHOK LEYLAND,Non AC Executive,2023-10-19 15:47:14,2023-10-20 01:19:14,572,788,453,246,52
45,Palampur Bus Stand - Kanpur Central Bus Station,BH 3275 OP,Purple,MAHINDRA & MAHINDRA,Non AC Executive,2023-09-11 06:36:36,2023-09-11 15:50:36,554,782,169,102,42
46,Agartala Bus Stand - Jodhpur Bus Stand,BH 3922 VA,Brown,TATA MOTORS,Non AC Sleeper,2023-10-10 11:39:35,2023-10-10 22:56:35,677,317,421,62,48
47,Ramgarh Bus Stand - Anantnag Bus Stop,BH 0734 YO,Yellow,BLUE BIRD CORPORATION,Non AC Sleeper,2023-09-26 06:26:20,2023-09-26 17:33:20,667,400,248,145,54
48,Udupi Bus Stop - Nellore Bus Terminal,BH 1050 NJ,Red,MAHINDRA & MAHINDRA,Non AC Executive,2023-09-17 01:12:00,2023-09-17 11:27:00,615,778,233,345,39
49,Bahadurgarh Terminal - Pali Bus Stand,BH 6803 QY,Brown,FORCE MOTORS,AC Executive,2023-10-27 04:23:30,2023-10-27 13:12:30,529,1406,37,74,30
50,Sonipat Stand - Nashik Central Bus Stand,BH 1556 ZS,Green,ASHOK LEYLAND,Non AC Sleeper,2023-09-07 21:53:36,2023-09-08 06:03:36,490,294,28,184,54
51,Kolasib Bus Stand - Lohardaga Bus Station,BH 5642 FW,Pink,VOLVO BUSES,AC Sleeper,2023-10-10 22:35:14,2023-10-11 07:02:14,507,636,371,256,31
52,Purnia Bus Depot - Jaipur Central Bus Station,BH 6663 YQ,Purple,VOLVO BUSES,AC Executive,2023-10-13 17:35:03,2023-10-14 03:10:03,575,1082,206,61,39
53,Leh Bus Stand - Jharsuguda Bus Terminal,BH 8753 AC,Purple,TATA MOTORS,AC Executive,2023-09-12 12:46:00,2023-09-12 21:04:00,498,1150,154,464,37
54,Khowai Bus Terminal - Havelock Island Bus Stop,BH 7511 HO,Black,BYD COMPANY LTD,AC Sleeper,2023-10-21 23:05:48,2023-10-22 10:35:48,690,645,426,431,36
55,Alwar Bus Depot - Hazrat Nizamuddin Depot,BH 2058 LJ,White,MERCEDES BENZ,AC Sleeper,2023-10-09 03:07:11,2023-10-09 11:24:11,497,614,67,3,39
56,Giridih Bus Terminal - Warangal Central Bus Stand,BH 7555 BU,White,MAHINDRA & MAHINDRA,Non AC Executive,2023-10-24 16:47:05,2023-10-25 01:05:05,498,917,247,323,50
57,Idukki Bus Terminal - Jamnagar Bus Terminus,BH 3646 FJ,Brown,SOLARIS,AC Sleeper,2023-09-23 18:32:25,2023-09-24 06:22:25,710,734,272,286,37
58,Medak Bus Terminal - Havelock Island Bus Stop,BH 1470 LD,Grey,VOLVO BUSES,AC Executive,2023-09-04 11:59:21,2023-09-04 21:41:21,582,1394,332,431,55
59,Koderma Bus Depot - India Gate,BH 2463 IN,Grey,ASHOK LEYLAND,Non AC Executive,2023-10-03 03:30:41,2023-10-03 14:20:41,650,894,260,5,31
60,Red Fort - Bhagalpur Bus Station,BH 7012 OB,Black,ASHOK LEYLAND,Non AC Sleeper,2023-09-17 00:21:18,2023-09-17 10:09:18,588,412,17,204,48
61,Lunglei Bus Terminal - Pathanamthitta Bus Stand,BH 7115 LK,Grey,SOLARIS,Non AC Executive,2023-10-29 00:55:14,2023-10-29 11:14:14,619,767,368,271,40
62,Tumakuru Bus Stand - Thanjavur New Bus Stand,BH 6201 JC,Blue,SOLARIS,Non AC Sleeper,2023-10-04 19:37:01,2023-10-05 03:48:01,491,487,229,131,38
63,Bhavnagar Bus Station - Howrah Bus Station,BH 6112 DA,Black,SOLARIS,AC Sleeper,2023-09-13 14:03:31,2023-09-13 22:26:31,503,503,285,374,48
64,Tiruppur Bus Terminus - Lucknow Charbagh,BH 1093 JK,Pink,BYD COMPANY LTD,AC Sleeper,2023-09-28 19:52:53,2023-09-29 05:35:53,583,718,135,101,54
65,Katra Bus Terminus - Karnal Bus Stand,BH 1727 DP,Pink,BYD COMPANY LTD,AC Sleeper,2023-09-18 11:57:04,2023-09-18 20:10:04,493,538,157,23,41
66,Tuensang Bus Station - Jaipur Central Bus Station,BH 9504 OM,Brown,TATA MOTORS,Non AC Sleeper,2023-10-16 14:34:01,2023-10-17 00:11:01,577,408,406,61,36
67,Barmer Terminal - Chitradurga Bus Stand,BH 6407 FX,Blue,MERCEDES BENZ,AC Sleeper,2023-09-18 05:13:26,2023-09-18 14:14:26,541,644,70,239,36
68,Jamnagar Bus Terminus - Pathankot Bus Stop,BH 5339 NZ,Black,FORCE MOTORS,AC Executive,2023-10-16 12:24:38,2023-10-16 20:24:38,480,1346,286,307,42
69,Warangal Central Bus Stand - Sagar Bus Depot,BH 8254 YH,Black,MAHINDRA & MAHINDRA,AC Sleeper,2023-09-29 07:08:48,2023-09-29 17:37:48,629,635,323,86,46
70,Ahmedabad Central Bus Station - Nagercoil New Bus Stand,BH 9336 OB,White,BLUE BIRD CORPORATION,Non AC Sleeper,2023-09-23 19:37:07,2023-09-24 06:22:07,645,338,281,133,54
71,Sawai Madhopur Junction - Warangal Central Bus Stand,BH 1671 JZ,Red,ASHOK LEYLAND,Non AC Sleeper,2023-10-02 05:03:31,2023-10-02 15:00:31,597,319,53,323,35
72,Karnal Bus Stand - Baharampur Bus Stand,BH 8945 EM,Red,MAHINDRA & MAHINDRA,Non AC Executive,2023-10-26 17:32:44,2023-10-27 01:48:44,496,930,23,385,39
73,Namakkal Bus Terminus - Agra ISBT,BH 4228 VM,Black,VOLVO BUSES,Non AC Sleeper,2023-10-12 04:50:25,2023-10-12 15:48:25,658,419,138,104,33
74,Sirmaur Bus Stand - Pali Bus Stand,BH 8700 XA,Red,MAHINDRA & MAHINDRA,AC Sleeper,2023-10-23 08:21:29,2023-10-23 17:30:29,549,727,172,54,54
75,Ajmer Bus Terminal - Yamunanagar Terminal,BH 1328 ZH,Grey,MERCEDES BENZ,Non AC Executive,2023-09-27 12:31:56,2023-09-27 21:41:56,550,859,44,26,42
76,Mandsaur Bus Depot - Malout Bus Station,BH 9185 TO,Yellow,VOLVO BUSES,Non AC Sleeper,2023-09-30 11:55:18,2023-09-30 20:50:18,535,269,93,320,47
77,Agra ISBT - Mapusa Bus Stand,BH 5267 XO,Brown,VOLVO BUSES,Non AC Sleeper,2023-09-08 18:44:43,2023-09-09 05:27:43,643,402,104,395,46
78,Keonjhar Bus Station - Giridih Bus Terminal,BH 3157 GQ,Green,SOLARIS,Non AC Executive,2023-10-28 22:04:04,2023-10-29 08:03:04,599,982,466,247,40
79,Ramagundam Bus Stand - Nandyal Bus Terminal,BH 7905 ND,White,ASHOK LEYLAND,AC Sleeper,2023-09-30 20:25:51,2023-10-01 04:26:51,481,685,327,354,33
80,Pollachi Bus Stand - Kolhapur Bus Stand,BH 1286 IA,Blue,FORCE MOTORS,AC Sleeper,2023-10-06 10:00:24,2023-10-06 18:59:24,539,503,140,187,46
81,Keonjhar Bus Station - Bilaspur Bus Depot,BH 2270 XF,Red,MERCEDES BENZ,Non AC Executive,2023-09-17 02:47:06,2023-09-17 11:27:06,520,956,466,170,39
82,Thanjavur New Bus Stand - Erode Bus Terminus,BH 7221 OJ,Black,VOLVO BUSES,Non AC Executive,2023-09-17 18:18:54,2023-09-18 03:58:54,580,806,131,129,31
83,Eluru Bus Complex - Agartala Bus Stand,BH 5602 YU,Purple,ASHOK LEYLAND,Non AC Executive,2023-09-19 23:53:06,2023-09-20 11:34:06,701,780,352,421,31
84,Asansol Bus Depot - Gwalior Bus Terminal,BH 0593 JD,Brown,EICHER MOTORS,AC Executive,2023-10-01 00:15:28,2023-10-01 10:57:28,642,1435,377,83,39
85,Sikar Road Junction - Giridih Bus Terminal,BH 4688 TV,White,TATA MOTORS,AC Executive,2023-10-10 04:11:42,2023-10-10 14:06:42,595,1417,68,247,34
86,Asansol Bus Depot - Alwar Bus Depot,BH 0923 QE,Yellow,MAHINDRA & MAHINDRA,Non AC Sleeper,2023-10-23 06:36:52,2023-10-23 17:39:52,663,425,377,67,37
87,Connaught Place - Pollachi Bus Stand,BH 7972 XF,Green,SOLARIS,Non AC Executive,2023-10-20 04:52:39,2023-10-20 16:26:39,694,952,2,140,46
88,Jamtara Bus Station - Kendrapara Bus Terminal,BH 6850 YM,White,TATA MOTORS,Non AC Executive,2023-10-03 01:21:44,2023-10-03 10:33:44,552,906,251,469,40
89,Solan Bus Terminus - Rayagada Bus Stop,BH 4856 YQ,Red,ASHOK LEYLAND,AC Sleeper,2023-10-29 18:18:07,2023-10-30 02:38:07,500,730,168,467,43
90,Kalaburagi Bus Station - Kolasib Bus Stand,BH 0969 WO,Green,SOLARIS,Non AC Executive,2023-09-19 01:18:57,2023-09-19 11:11:57,593,997,227,371,40
91,Bishnupur Bus Terminal - Bhadrak Bus Stand,BH 1661 RF,Grey,BLUE BIRD CORPORATION,Non AC Sleeper,2023-10-09 01:46:04,2023-10-09 13:12:04,686,319,417,470,52
92,Shivpuri Bus Station - Varanasi Cantt,BH 5322 YT,Purple,EICHER MOTORS,AC Sleeper,2023-10-07 00:00:55,2023-10-07 08:44:55,524,545,92,103,45
93,Gyalshing Bus Stand - Bhaderwah Bus Stand,BH 3188 DN,Blue,ASHOK LEYLAND,AC Sleeper,2023-10-17 01:23:30,2023-10-17 13:12:30,709,562,364,156,35
94,Lohardaga Bus Station - Joginder Nagar Bus Depot,BH 7277 HD,Brown,EICHER MOTORS,Non AC Sleeper,2023-10-08 05:22:42,2023-10-08 14:47:42,565,492,256,180,46
95,Mangaluru Central Bus Station - Dharwad Bus Stop,BH 1031 JT,Grey,BYD COMPANY LTD,AC Sleeper,2023-10-09 01:18:44,2023-10-09 13:13:44,715,703,225,238,40
96,Poonch Bus Stand - Deoghar Bus Stand,BH 7994 XB,Black,MAHINDRA & MAHINDRA,Non AC Sleeper,2023-09-05 02:14:18,2023-09-05 11:02:18,528,468,151,246,36
97,Katihar Bus Terminal - Giridih Bus Terminal,BH 5793 EK,Red,TATA MOTORS,AC Sleeper,2023-09-27 02:08:34,2023-09-27 13:34:34,686,571,218,247,45
98,Barnala Bus Terminal - Sitamarhi Bus Stop,BH 6492 IZ,Pink,TATA MOTORS,Non AC Sleeper,2023-10-12 15:18:46,2023-10-13 03:07:46,709,321,312,220,50
99,Kolkata Esplanade Bus Terminus - Pasighat Bus Terminal,BH 4862 QH,Red,EICHER MOTORS,Non AC Sleeper,2023-09-05 18:37:08,2023-09-06 04:10:08,573,480,373,414,54
100,Lucknow Charbagh - Khammam Bus Terminal,BH 2359 NI,Brown,FORCE MOTORS,AC Sleeper,2023-09-04 14:14:28,2023-09-04 22:16:28,482,647,101,326,53
101,Bikaner Bus Station - Kolasib Bus Stand,BH 4258 FR,Red,MERCEDES BENZ,Non AC Sleeper,2023-09-17 00:32:56,2023-09-17 11:29:56,657,454,46,371,46
102,Hisar Bus Depot - Darbhanga Bus Stand,BH 4833 YC,Purple,BLUE BIRD CORPORATION,AC Sleeper,2023-10-02 16:27:55,2023-10-03 02:06:55,579,704,24,205,49
103,Pollachi Bus Stand - Khammam Bus Terminal,BH 0027 LB,Pink,FORCE MOTORS,Non AC Executive,2023-10-10 06:25:53,2023-10-10 15:03:53,518,912,140,326,48
104,Thoubal Bus Stand - Keonjhar Bus Station,BH 7206 SF,Black,BYD COMPANY LTD,Non AC Sleeper,2023-10-03 12:13:24,2023-10-03 23:02:24,649,397,418,466,44
105,Palwal Bus Depot - Chitradurga Bus Stand,BH 3652 CH,White,EICHER MOTORS,AC Sleeper,2023-10-22 07:41:18,2023-10-22 16:07:18,506,740,36,239,44
106,Palwal Bus Depot - Haldia Bus Terminal,BH 8953 GY,Black,MAHINDRA & MAHINDRA,Non AC Executive,2023-09-24 18:23:54,2023-09-25 04:16:54,593,883,36,379,39
107,Bomdila Bus Station - Saharsa Bus Stop,BH 5217 KR,Brown,FORCE MOTORS,AC Executive,2023-09-22 05:34:13,2023-09-22 17:24:13,710,1499,412,208,46
108,Faridkot Bus Station - Leh Bus Stand,BH 7381 RE,Grey,FORCE MOTORS,AC Sleeper,2023-10-22 08:21:28,2023-10-22 16:41:28,500,518,310,154,54
109,Kharagpur Bus Stop - Gumla Bus Stop,BH 3860 OC,White,VOLVO BUSES,Non AC Executive,2023-09-22 10:20:34,2023-09-22 19:07:34,527,796,380,253,49
110,Warangal Central Bus Stand - Bikaner Bus Station,BH 0399 UH,Grey,MERCEDES BENZ,AC Executive,2023-10-06 09:01:48,2023-10-06 18:40:48,579,1148,323,66,51
111,Ramagundam Bus Stand - Rangpo Bus Terminal,BH 9303 RK,Purple,EICHER MOTORS,AC Executive,2023-10-03 17:59:07,2023-10-04 04:29:07,630,1302,327,365,42
112,Narnaul Bus Station - Jharsuguda Bus Terminal,BH 5489 AN,Red,VOLVO BUSES,Non AC Executive,2023-10-21 06:14:49,2023-10-21 17:20:49,666,997,39,464,55
113,Leh Bus Stand - Punalur Bus Stand,BH 4673 OS,White,EICHER MOTORS,AC Sleeper,2023-10-05 17:04:10,2023-10-06 04:17:10,673,549,154,280,41
114,CMBT Anna Nagar - Jaisalmer Bus Terminal,BH 4465 PN,Yellow,TATA MOTORS,AC Executive,2023-09-15 18:34:59,2023-09-16 03:49:59,555,1035,122,56,46
115,Moga Bus Depot - Rajouri Bus Depot,BH 0823 WV,Black,FORCE MOTORS,Non AC Executive,2023-09-24 04:23:36,2023-09-24 14:49:36,626,903,308,150,55
116,Baramulla Bus Station - Chitradurga Bus Stand,BH 9067 FA,Red,VOLVO BUSES,AC Sleeper,2023-10-05 07:55:04,2023-10-05 19:16:04,681,749,146,239,50
117,Ratlam Bus Terminal - Aurangabad Central Bus Depot,BH 7672 BH,Black,VOLVO BUSES,AC Sleeper,2023-10-24 15:12:29,2023-10-25 01:12:29,600,600,95,185,45
118,Kasaragod Bus Stand - Berhampur Bus Stand,BH 6911 KO,Black,BLUE BIRD CORPORATION,AC Executive,2023-09-10 16:34:07,2023-09-11 03:34:07,660,1475,270,459,40
119,Shivpuri Bus Station - Firozpur Bus Stand,BH 4264 JQ,Blue,FORCE MOTORS,AC Sleeper,2023-09-03 16:07:37,2023-09-04 02:21:37,614,621,92,309,40
120,Bijapur Bus Stop - Siliguri Tenzing Norgay Bus Terminus,BH 6948 IB,Brown,ASHOK LEYLAND,Non AC Sleeper,2023-09-14 15:10:53,2023-09-15 01:51:53,641,415,452,375,39
121,Faridkot Bus Station - Davangere Bus Terminus,BH 5744 YI,Blue,ASHOK LEYLAND,Non AC Sleeper,2023-10-25 12:57:36,2023-10-26 00:09:36,672,382,310,228,31
122,Katra Bus Terminus - Balurghat Bus Stop,BH 1963 KO,Red,BLUE BIRD CORPORATION,Non AC Sleeper,2023-09-17 21:10:06,2023-09-18 08:23:06,673,372,157,384,40
123,Ujjain Bus Stand - Vizianagaram Bus Stop,BH 1299 DE,Black,BYD COMPANY LTD,AC Sleeper,2023-10-28 21:30:51,2023-10-29 09:04:51,694,656,85,351,41
124,Kohima Bus Stand - Aalo Bus Stand,BH 4727 HU,Blue,TATA MOTORS,AC Sleeper,2023-10-28 01:46:10,2023-10-28 11:00:10,554,731,403,413,51
125,Thiruvananthapuram Central Bus Station - Berhampur Bus Stand,BH 0637 KU,Brown,MERCEDES BENZ,Non AC Executive,2023-10-04 18:53:36,2023-10-05 03:30:36,517,987,261,459,51
126,Manali Bus Stand - Balasore Bus Depot,BH 6031 BB,White,TATA MOTORS,Non AC Sleeper,2023-10-04 11:31:51,2023-10-04 22:37:51,666,328,162,462,47
127,Malda Bus Station - Bhilai Power House Bus Stand,BH 2514 ND,Red,FORCE MOTORS,AC Sleeper,2023-10-15 20:51:31,2023-10-16 05:44:31,533,655,381,439,30
128,Mamit Bus Terminal - Rewa Bus Station,BH 9745 EU,Brown,BYD COMPANY LTD,AC Sleeper,2023-10-07 05:25:18,2023-10-07 13:32:18,487,562,372,87,43
129,Dungarpur Bus Stop - Raebareli Bus Stand,BH 7610 PU,White,EICHER MOTORS,Non AC Sleeper,2023-10-12 19:03:28,2023-10-13 05:05:28,602,368,49,117,47
130,Damoh Bus Stand - Mahasamund Bus Depot,BH 3420 EG,Grey,SOLARIS,Non AC Executive,2023-10-15 03:19:10,2023-10-15 13:39:10,620,932,89,447,36
131,Amritsar Bus Stand - Jharsuguda Bus Terminal,BH 7200 TA,Black,SOLARIS,AC Executive,2023-09-15 15:17:15,2023-09-16 03:14:15,717,1171,301,464,31
132,Indore Sarwate Bus Stand - Pakur Bus Stand,BH 7286 HH,Brown,ASHOK LEYLAND,Non AC Executive,2023-09-17 02:40:45,2023-09-17 13:23:45,643,949,82,252,49
133,Guntur Bus Stand - Kangra Bus Stand,BH 0597 JM,Black,SOLARIS,Non AC Executive,2023-09-13 14:21:36,2023-09-14 02:05:36,704,833,344,175,36
134,Dungarpur Bus Stop - Coimbatore Gandhipuram,BH 9004 AF,Grey,TATA MOTORS,AC Sleeper,2023-10-04 15:31:14,2023-10-04 23:58:14,507,691,49,123,35
135,Baharampur Bus Stand - Havelock Island Bus Stop,BH 7277 AC,Purple,BYD COMPANY LTD,Non AC Executive,2023-09-19 16:35:44,2023-09-20 03:40:44,665,955,385,431,41
136,Anand Bus Stop - India Gate,BH 7807 DO,Yellow,MERCEDES BENZ,AC Sleeper,2023-09-27 12:16:06,2023-09-27 21:08:06,532,728,289,5,43
137,Vijayawada Pandit Nehru Bus Station - Sonamarg Bus Terminal,BH 0736 KP,White,VOLVO BUSES,AC Sleeper,2023-09-07 15:28:38,2023-09-08 02:22:38,654,664,342,160,53
138,Rayagada Bus Stop - Korba Bus Station,BH 7067 IG,Pink,BYD COMPANY LTD,AC Sleeper,2023-10-22 10:39:28,2023-10-22 21:39:28,660,693,467,443,39
139,Nanded Bus Stand - Fatehabad Bus Station,BH 2603 LF,Blue,MERCEDES BENZ,Non AC Sleeper,2023-09-05 00:21:46,2023-09-05 08:30:46,489,476,194,33,35
140,Koraput Bus Stand - Darjeeling Bus Stop,BH 5054 FC,Purple,EICHER MOTORS,AC Executive,2023-10-26 10:34:18,2023-10-26 22:11:18,697,1008,465,391,50
141,Moga Bus Depot - Mansa Bus Station,BH 9978 YJ,Grey,MERCEDES BENZ,AC Executive,2023-10-19 20:52:18,2023-10-20 06:57:18,605,1034,308,315,33
142,Vizianagaram Bus Stop - Ongole Bus Stand,BH 8984 DH,Pink,ASHOK LEYLAND,Non AC Sleeper,2023-09-05 09:48:35,2023-09-05 19:29:35,581,473,351,353,38
143,Bettiah Bus Station - Dharamshala Bus Terminal,BH 4020 IV,Brown,SOLARIS,Non AC Executive,2023-10-25 13:59:41,2023-10-26 00:10:41,611,751,209,163,34
144,Howrah Bus Station - Kodungallur Bus Stand,BH 3147 YZ,Pink,BYD COMPANY LTD,AC Executive,2023-09-19 21:24:09,2023-09-20 09:11:09,707,1057,374,277,55
145,Sikar Road Junction - Serchhip Bus Station,BH 7222 CQ,White,MAHINDRA & MAHINDRA,Non AC Executive,2023-09-28 02:15:07,2023-09-28 11:26:07,551,881,48,370,48
146,Buxar Bus Stand - Deoghar Bus Stand,BH 5924 JX,White,FORCE MOTORS,AC Executive,2023-10-02 15:09:28,2023-10-02 23:50:28,521,1076,217,246,46
