Room_Num,Hotel_ID,Room_type,Cost,Room_Capacity
18,2,Deluxe Room,2700,3
19,2,Family Room,2500,3
20,2,Adjoining Rooms,5800,4
21,2,Presidential Suite,97000,3
22,2,Superior room,3900,4
23,2,Family Room,2500,4
24,2,Family Room,2500,3
25,2,Accessible Room,1500,4
26,2,Deluxe Room,2700,2
27,2,Superior room,3900,5
28,2,Suite,19000,2
29,2,Accessible Room,1500,5
30,2,Adjoining Rooms,5800,2
31,2,Exceutive Room,4500,4
32,2,Presidential Suite,97000,2
33,2,Adjoining Rooms,5800,3
34,2,Presidential Suite,97000,3
35,2,Standard Room,1900,5
36,2,Exceutive Room,4500,2
37,2,Family Room,2500,5
38,2,Superior room,3900,5
39,2,Standard Room,1900,5
40,2,Deluxe Room,2700,3
41,2,Adjoining Rooms,5800,4
42,2,Superior room,3900,5
43,2,Superior room,3900,3
44,2,Standard Room,1900,5
45,2,Superior room,3900,2
46,2,Exceutive Room,4500,4
47,2,Deluxe Room,2700,5
48,2,Deluxe Room,2700,5
49,2,Family Room,2500,5
50,2,Deluxe Room,2700,3
51,2,Deluxe Room,2700,5
52,2,Family Room,2500,5
53,2,Standard Room,1900,4
54,2,Superior room,3900,5
55,2,Superior room,3900,4
56,2,Exceutive Room,4500,3
57,2,Deluxe Room,2700,3
58,2,Superior room,3900,4
59,2,Family Room,2500,4
60,2,Exceutive Room,4500,4
61,2,Family Room,2500,4
62,2,Suite,19000,3
63,2,Family Room,2500,4
64,2,Family Room,2500,4
65,2,Standard Room,1900,2
66,2,Presidential Suite,97000,3
67,2,Superior room,3900,3
68,2,Accessible Room,1500,4
69,2,Suite,19000,3
70,2,Presidential Suite,97000,4
71,2,Deluxe Room,2700,4
72,2,Deluxe Room,2700,5
73,2,Adjoining Rooms,5800,3
74,2,Superior room,3900,3
75,2,Family Room,2500,2
76,2,Superior room,3900,5
77,2,Family Room,2500,4
78,2,Family Room,2500,2
79,2,Superior room,3900,3
80,2,Superior room,3900,4
81,2,Adjoining Rooms,5800,2
82,2,Deluxe Room,2700,3
83,2,Superior room,3900,3
84,2,Standard Room,1900,5
85,2,Deluxe Room,2700,5
86,2,Deluxe Room,2700,2
87,2,Family Room,2500,4
88,2,Accessible Room,1500,5
89,2,Suite,19000,3
1,3,Family Room,3900,5
2,3,Superior room,3900,5
3,3,Superior room,3900,4
4,3,Family Room,3900,3
5,3,Deluxe Room,2600,2
6,3,Family Room,3900,5
7,3,Superior room,3900,3
8,3,Deluxe Room,2600,5
9,3,Standard Room,1200,5
10,3,Accessible Room,2600,5
11,3,Presidential Suite,69000,2
12,3,Exceutive Room,4900,2
13,3,Presidential Suite,69000,2
14,3,Family Room,3900,5
15,3,Adjoining Rooms,6000,3
16,3,Family Room,3900,4
17,3,Deluxe Room,2600,3
18,3,Superior room,3900,3
19,3,Superior room,3900,3
20,3,Deluxe Room,2600,5
21,3,Superior room,3900,3
22,3,Standard Room,1200,4
23,3,Superior room,3900,2
24,3,Presidential Suite,69000,2
25,3,Standard Room,1200,2
26,3,Standard Room,1200,5
27,3,Superior room,3900,4
28,3,Superior room,3900,5
29,3,Family Room,3900,5
30,3,Deluxe Room,2600,2
31,3,Exceutive Room,4900,3
32,3,Family Room,3900,5
33,3,Superior room,3900,3
34,3,Standard Room,1200,4
35,3,Accessible Room,2600,3
36,3,Deluxe Room,2600,2
37,3,Standard Room,1200,4
38,3,Superior room,3900,3
39,3,Superior room,3900,4
40,3,Exceutive Room,4900,5
41,3,Superior room,3900,4
42,3,Superior room,3900,4
43,3,Standard Room,1200,2
44,3,Superior room,3900,2
45,3,Suite,23000,3
46,3,Family Room,3900,5
47,3,Standard Room,1200,5
48,3,Presidential Suite,69000,4
49,3,Adjoining Rooms,6000,3
50,3,Exceutive Room,4900,4
51,3,Superior room,3900,4
52,3,Family Room,3900,2
53,3,Accessible Room,2600,4
54,3,Standard Room,1200,4
55,3,Deluxe Room,2600,3
56,3,Superior room,3900,5
57,3,Superior room,3900,5
58,3,Superior room,3900,2
59,3,Superior room,3900,4
60,3,Accessible Room,2600,2
61,3,Presidential Suite,69000,4
62,3,Family Room,3900,5
63,3,Superior room,3900,5
64,3,Exceutive Room,4900,2
65,3,Family Room,3900,3
66,3,Accessible Room,2600,4
67,3,Family Room,3900,2
68,3,Family Room,3900,3
69,3,Suite,23000,4
70,3,Deluxe Room,2600,3
71,3,Standard Room,1200,2
72,3,Exceutive Room,4900,5
73,3,Family Room,3900,3
74,3,Superior room,3900,4
75,3,Adjoining Rooms,6000,5
76,3,Family Room,3900,4
77,3,Standard Room,1200,5
78,3,Exceutive Room,4900,3
79,3,Superior room,3900,2
80,3,Superior room,3900,5
81,3,Exceutive Room,4900,5
82,3,Standard Room,1200,3
83,3,Superior room,3900,4
84,3,Family Room,3900,2
85,3,Deluxe Room,2600,3
86,3,Deluxe Room,2600,5
87,3,Deluxe Room,2600,5
88,3,Accessible Room,2600,5
89,3,Standard Room,1200,5
1,4,Accessible Room,1600,2
2,4,Exceutive Room,4900,4
3,4,Suite,19000,4
4,4,Accessible Room,1600,3
5,4,Superior room,3600,4
6,4,Deluxe Room,2500,3
7,4,Superior room,3600,3
8,4,Presidential Suite,87000,5
9,4,Presidential Suite,87000,2
10,4,Exceutive Room,4900,3
11,4,Accessible Room,1600,2
12,4,Standard Room,2000,4
13,4,Standard Room,2000,3
14,4,Standard Room,2000,2
15,4,Deluxe Room,2500,2
16,4,Family Room,3300,5
17,4,Accessible Room,1600,2
18,4,Superior room,3600,4
19,4,Exceutive Room,4900,5
20,4,Exceutive Room,4900,3
21,4,Exceutive Room,4900,3
22,4,Exceutive Room,4900,4
23,4,Family Room,3300,5
24,4,Family Room,3300,2
25,4,Exceutive Room,4900,5
26,4,Exceutive Room,4900,3
27,4,Family Room,3300,4
28,4,Adjoining Rooms,5200,2
29,4,Exceutive Room,4900,3
30,4,Exceutive Room,4900,5
31,4,Deluxe Room,2500,4
32,4,Standard Room,2000,4
33,4,Exceutive Room,4900,5
34,4,Family Room,3300,2
35,4,Standard Room,2000,2
36,4,Standard Room,2000,3
37,4,Exceutive Room,4900,4
38,4,Family Room,3300,5
39,4,Standard Room,2000,3
40,4,Adjoining Rooms,5200,2
41,4,Presidential Suite,87000,4
42,4,Superior room,3600,5
43,4,Deluxe Room,2500,5
44,4,Exceutive Room,4900,2
45,4,Deluxe Room,2500,2
46,4,Family Room,3300,2
47,4,Accessible Room,1600,5
48,4,Family Room,3300,4
49,4,Exceutive Room,4900,4
50,4,Exceutive Room,4900,5
51,4,Family Room,3300,3
52,4,Suite,19000,5
53,4,Deluxe Room,2500,2
54,4,Exceutive Room,4900,5
55,4,Family Room,3300,2
56,4,Exceutive Room,4900,5
57,4,Superior room,3600,5
58,4,Family Room,3300,5
59,4,Family Room,3300,4
60,4,Suite,19000,5
61,4,Accessible Room,1600,4
62,4,Standard Room,2000,4
63,4,Family Room,3300,3
64,4,Superior room,3600,3
65,4,Family Room,3300,3
66,4,Presidential Suite,87000,3
67,4,Exceutive Room,4900,2
68,4,Standard Room,2000,4
69,4,Standard Room,2000,2
70,4,Deluxe Room,2500,5
71,4,Adjoining Rooms,5200,4
72,4,Presidential Suite,87000,2
73,4,Accessible Room,1600,4
74,4,Exceutive Room,4900,4
75,4,Accessible Room,1600,4
76,4,Exceutive Room,4900,2
77,4,Deluxe Room,2500,4
78,4,Standard Room,2000,4
79,4,Superior room,3600,2
1,5,Superior room,4500,3
2,5,Suite,20000,5
3,5,Exceutive Room,4600,4
4,5,Exceutive Room,4600,3
5,5,Superior room,4500,2
6,5,Family Room,3500,2
7,5,Exceutive Room,4600,2
8,5,Presidential Suite,76000,5
9,5,Superior room,4500,4
10,5,Standard Room,1800,2
11,5,Superior room,4500,5
12,5,Superior room,4500,4
13,5,Superior room,4500,5
14,5,Exceutive Room,4600,4
15,5,Presidential Suite,76000,5
16,5,Exceutive Room,4600,5
17,5,Adjoining Rooms,5800,2
18,5,Superior room,4500,4
19,5,Presidential Suite,76000,5
20,5,Accessible Room,1600,4
21,5,Accessible Room,1600,5
22,5,Exceutive Room,4600,4
23,5,Exceutive Room,4600,4
24,5,Exceutive Room,4600,4
25,5,Adjoining Rooms,5800,5
26,5,Superior room,4500,4
27,5,Standard Room,1800,3
28,5,Adjoining Rooms,5800,5
29,5,Deluxe Room,2800,3
30,5,Superior room,4500,2
31,5,Standard Room,1800,2
32,5,Deluxe Room,2800,3
33,5,Family Room,3500,3
34,5,Family Room,3500,5
35,5,Superior room,4500,4
36,5,Superior room,4500,4
37,5,Standard Room,1800,2
38,5,Exceutive Room,4600,4
39,5,Exceutive Room,4600,5
40,5,Adjoining Rooms,5800,3
41,5,Suite,20000,3
42,5,Deluxe Room,2800,4
43,5,Suite,20000,3
44,5,Superior room,4500,4
45,5,Deluxe Room,2800,4
46,5,Suite,20000,2
47,5,Exceutive Room,4600,4
48,5,Exceutive Room,4600,5
49,5,Standard Room,1800,4
1,6,Deluxe Room,2600,4
2,6,Family Room,3400,2
3,6,Superior room,4000,2
4,6,Superior room,4000,3
5,6,Deluxe Room,2600,2
6,6,Family Room,3400,3
7,6,Family Room,3400,4
8,6,Accessible Room,2600,2
9,6,Presidential Suite,55000,5
10,6,Exceutive Room,4800,3
11,6,Standard Room,1100,4
12,6,Adjoining Rooms,5200,2
13,6,Standard Room,1100,2
14,6,Suite,22000,2
15,6,Exceutive Room,4800,4
16,6,Standard Room,1100,5
17,6,Family Room,3400,2
18,6,Standard Room,1100,3
19,6,Accessible Room,2600,3
20,6,Accessible Room,2600,5
21,6,Standard Room,1100,3
22,6,Deluxe Room,2600,4
23,6,Adjoining Rooms,5200,2
24,6,Presidential Suite,55000,3
25,6,Family Room,3400,2
26,6,Adjoining Rooms,5200,4
27,6,Exceutive Room,4800,3
28,6,Accessible Room,2600,4
29,6,Exceutive Room,4800,2
30,6,Deluxe Room,2600,4
31,6,Exceutive Room,4800,3
32,6,Deluxe Room,2600,3
33,6,Deluxe Room,2600,2
34,6,Standard Room,1100,4
35,6,Presidential Suite,55000,3
36,6,Standard Room,1100,5
37,6,Standard Room,1100,4
38,6,Exceutive Room,4800,5
39,6,Deluxe Room,2600,3
40,6,Superior room,4000,3
41,6,Deluxe Room,2600,4
42,6,Family Room,3400,5
43,6,Presidential Suite,55000,4
44,6,Family Room,3400,4
45,6,Exceutive Room,4800,3
46,6,Adjoining Rooms,5200,2
47,6,Deluxe Room,2600,4
48,6,Deluxe Room,2600,2
49,6,Exceutive Room,4800,3
50,6,Standard Room,1100,5
51,6,Family Room,3400,3
52,6,Suite,22000,2
53,6,Deluxe Room,2600,3
54,6,Presidential Suite,55000,2
55,6,Exceutive Room,4800,3
56,6,Standard Room,1100,4
57,6,Family Room,3400,2
58,6,Exceutive Room,4800,2
59,6,Deluxe Room,2600,4
60,6,Exceutive Room,4800,3
61,6,Exceutive Room,4800,4
62,6,Superior room,4000,3
63,6,Suite,22000,5
64,6,Standard Room,1100,5
65,6,Exceutive Room,4800,3
66,6,Superior room,4000,4
67,6,Family Room,3400,2
68,6,Deluxe Room,2600,4
69,6,Accessible Room,2600,2
70,6,Standard Room,1100,3
71,6,Superior room,4000,4
72,6,Accessible Room,2600,4
73,6,Superior room,4000,2
74,6,Suite,22000,2
75,6,Accessible Room,2600,5
76,6,Exceutive Room,4800,3
77,6,Exceutive Room,4800,2
78,6,Exceutive Room,4800,4
79,6,Superior room,4000,3
80,6,Deluxe Room,2600,3
81,6,Presidential Suite,55000,5
82,6,Superior room,4000,4
83,6,Deluxe Room,2600,5
84,6,Presidential Suite,55000,2
85,6,Standard Room,1100,5
86,6,Family Room,3400,2
87,6,Exceutive Room,4800,2
88,6,Adjoining Rooms,5200,2
89,6,Presidential Suite,55000,5
90,6,Exceutive Room,4800,2
91,6,Superior room,4000,4
92,6,Exceutive Room,4800,2
93,6,Deluxe Room,2600,4
94,6,Superior room,4000,2
95,6,Exceutive Room,4800,2
96,6,Superior room,4000,5
97,6,Superior room,4000,5
98,6,Family Room,3400,3
99,6,Deluxe Room,2600,3
100,6,Superior room,4000,2
101,6,Presidential Suite,55000,5
102,6,Superior room,4000,4
103,6,Standard Room,1100,5
104,6,Superior room,4000,3
105,6,Standard Room,1100,2
106,6,Presidential Suite,55000,4
107,6,Deluxe Room,2600,4
108,6,Superior room,4000,4
109,6,Standard Room,1100,2
110,6,Deluxe Room,2600,3
111,6,Family Room,3400,3
112,6,Standard Room,1100,3
113,6,Exceutive Room,4800,5
114,6,Superior room,4000,3
115,6,Deluxe Room,2600,5
116,6,Standard Room,1100,2
117,6,Superior room,4000,4
118,6,Exceutive Room,4800,5
119,6,Superior room,4000,2
1,7,Suite,19000,5
2,7,Standard Room,1500,4
3,7,Exceutive Room,4900,4
4,7,Standard Room,1500,2
5,7,Adjoining Rooms,4900,5
6,7,Standard Room,1500,2
7,7,Standard Room,1500,3
8,7,Standard Room,1500,4
9,7,Deluxe Room,3500,3
10,7,Exceutive Room,4900,3
11,7,Standard Room,1500,5
12,7,Accessible Room,1700,4
13,7,Family Room,3700,5
14,7,Standard Room,1500,2
15,7,Superior room,4000,3
16,7,Exceutive Room,4900,3
17,7,Deluxe Room,3500,5
18,7,Suite,19000,3
19,7,Deluxe Room,3500,2
20,7,Deluxe Room,3500,4
21,7,Accessible Room,1700,5
22,7,Deluxe Room,3500,5
23,7,Exceutive Room,4900,3
24,7,Family Room,3700,2
25,7,Deluxe Room,3500,4
26,7,Superior room,4000,4
27,7,Standard Room,1500,3
28,7,Exceutive Room,4900,5
29,7,Family Room,3700,2
30,7,Family Room,3700,3
31,7,Suite,19000,2
32,7,Family Room,3700,3
33,7,Family Room,3700,5
34,7,Family Room,3700,2
35,7,Deluxe Room,3500,3
36,7,Family Room,3700,3
37,7,Superior room,4000,4
38,7,Standard Room,1500,2
39,7,Exceutive Room,4900,2
40,7,Standard Room,1500,2
41,7,Deluxe Room,3500,3
42,7,Exceutive Room,4900,3
43,7,Exceutive Room,4900,2
44,7,Exceutive Room,4900,3
45,7,Deluxe Room,3500,5
46,7,Standard Room,1500,3
47,7,Standard Room,1500,3
48,7,Family Room,3700,3
49,7,Accessible Room,1700,3
1,8,Deluxe Room,2500,2
2,8,Accessible Room,2400,5
3,8,Deluxe Room,2500,2
4,8,Superior room,3900,5
5,8,Family Room,2700,5
6,8,Standard Room,1300,2
7,8,Deluxe Room,2500,4
8,8,Standard Room,1300,2
9,8,Suite,20000,4
10,8,Superior room,3900,3
11,8,Suite,20000,4
12,8,Deluxe Room,2500,2
13,8,Superior room,3900,3
14,8,Superior room,3900,3
15,8,Family Room,2700,5
16,8,Exceutive Room,4800,5
17,8,Exceutive Room,4800,2
18,8,Exceutive Room,4800,3
19,8,Superior room,3900,3
20,8,Deluxe Room,2500,5
21,8,Deluxe Room,2500,3
22,8,Deluxe Room,2500,5
23,8,Family Room,2700,4
24,8,Accessible Room,2400,4
25,8,Presidential Suite,94000,2
26,8,Exceutive Room,4800,2
27,8,Standard Room,1300,4
28,8,Superior room,3900,4
29,8,Standard Room,1300,4
30,8,Deluxe Room,2500,3
31,8,Standard Room,1300,5
32,8,Deluxe Room,2500,5
33,8,Standard Room,1300,4
34,8,Deluxe Room,2500,5
35,8,Superior room,3900,5
36,8,Deluxe Room,2500,3
37,8,Deluxe Room,2500,4
38,8,Accessible Room,2400,4
39,8,Superior room,3900,4
40,8,Superior room,3900,3
41,8,Superior room,3900,5
42,8,Deluxe Room,2500,5
43,8,Adjoining Rooms,5900,3
44,8,Accessible Room,2400,4
45,8,Family Room,2700,5
46,8,Standard Room,1300,3
47,8,Family Room,2700,5
48,8,Family Room,2700,4
49,8,Superior room,3900,2
50,8,Family Room,2700,3
51,8,Standard Room,1300,5
52,8,Family Room,2700,2
53,8,Exceutive Room,4800,2
54,8,Presidential Suite,94000,5
55,8,Exceutive Room,4800,4
56,8,Family Room,2700,4
57,8,Family Room,2700,2
58,8,Family Room,2700,3
59,8,Deluxe Room,2500,3
60,8,Exceutive Room,4800,4
61,8,Superior room,3900,2
62,8,Deluxe Room,2500,3
63,8,Suite,20000,3
64,8,Family Room,2700,2
65,8,Presidential Suite,94000,4
66,8,Superior room,3900,4
67,8,Family Room,2700,5
68,8,Exceutive Room,4800,3
69,8,Adjoining Rooms,5900,3
1,9,Superior room,3600,4
2,9,Exceutive Room,4600,4
3,9,Standard Room,1800,5
4,9,Superior room,3600,2
5,9,Standard Room,1800,2
6,9,Family Room,3900,5
7,9,Standard Room,1800,4
8,9,Adjoining Rooms,6000,4
9,9,Superior room,3600,2
10,9,Family Room,3900,2
11,9,Superior room,3600,3
12,9,Standard Room,1800,4
13,9,Accessible Room,2700,3
14,9,Superior room,3600,4
15,9,Deluxe Room,3100,2
16,9,Deluxe Room,3100,3
17,9,Accessible Room,2700,5
18,9,Presidential Suite,99000,5
19,9,Presidential Suite,99000,2
20,9,Exceutive Room,4600,5
21,9,Accessible Room,2700,5
22,9,Standard Room,1800,5
23,9,Deluxe Room,3100,2
24,9,Family Room,3900,2
25,9,Accessible Room,2700,4
26,9,Deluxe Room,3100,4
27,9,Accessible Room,2700,4
28,9,Superior room,3600,3
29,9,Exceutive Room,4600,5
30,9,Suite,25000,3
31,9,Presidential Suite,99000,3
32,9,Family Room,3900,5
33,9,Suite,25000,5
34,9,Deluxe Room,3100,2
35,9,Exceutive Room,4600,2
36,9,Exceutive Room,4600,4
37,9,Standard Room,1800,5
38,9,Deluxe Room,3100,5
39,9,Exceutive Room,4600,4
40,9,Standard Room,1800,5
41,9,Family Room,3900,2
42,9,Standard Room,1800,4
43,9,Accessible Room,2700,4
44,9,Family Room,3900,5
45,9,Exceutive Room,4600,4
46,9,Standard Room,1800,2
47,9,Suite,25000,3
48,9,Suite,25000,4
49,9,Exceutive Room,4600,5
50,9,Adjoining Rooms,6000,3
51,9,Family Room,3900,2
52,9,Exceutive Room,4600,2
53,9,Exceutive Room,4600,3
54,9,Family Room,3900,2
55,9,Family Room,3900,2
56,9,Adjoining Rooms,6000,3
57,9,Exceutive Room,4600,5
58,9,Exceutive Room,4600,4
59,9,Superior room,3600,5
60,9,Adjoining Rooms,6000,5
61,9,Presidential Suite,99000,4
62,9,Family Room,3900,3
63,9,Standard Room,1800,5
64,9,Suite,25000,3
65,9,Superior room,3600,4
66,9,Standard Room,1800,5
67,9,Family Room,3900,2
68,9,Superior room,3600,2
69,9,Family Room,3900,3
70,9,Accessible Room,2700,5
71,9,Standard Room,1800,4
72,9,Presidential Suite,99000,5
73,9,Standard Room,1800,3
74,9,Exceutive Room,4600,3
75,9,Standard Room,1800,2
76,9,Deluxe Room,3100,5
77,9,Superior room,3600,5
78,9,Standard Room,1800,5
79,9,Deluxe Room,3100,2
1,10,Superior room,4500,4
2,10,Deluxe Room,2900,4
3,10,Suite,24000,5
4,10,Family Room,3900,5
5,10,Family Room,3900,3
6,10,Exceutive Room,4800,3
7,10,Suite,24000,5
8,10,Deluxe Room,2900,2
9,10,Standard Room,1500,4
10,10,Presidential Suite,90000,3
11,10,Superior room,4500,5
12,10,Exceutive Room,4800,4
13,10,Exceutive Room,4800,2
14,10,Deluxe Room,2900,2
15,10,Standard Room,1500,3
16,10,Exceutive Room,4800,3
17,10,Superior room,4500,3
18,10,Suite,24000,3
19,10,Family Room,3900,3
20,10,Family Room,3900,3
21,10,Adjoining Rooms,5700,4
22,10,Deluxe Room,2900,4
23,10,Accessible Room,2400,4
24,10,Superior room,4500,3
25,10,Deluxe Room,2900,4
26,10,Standard Room,1500,3
27,10,Suite,24000,5
28,10,Deluxe Room,2900,5
29,10,Superior room,4500,4
30,10,Superior room,4500,5
31,10,Adjoining Rooms,5700,4
32,10,Exceutive Room,4800,2
33,10,Superior room,4500,5
34,10,Standard Room,1500,5
35,10,Accessible Room,2400,2
36,10,Adjoining Rooms,5700,4
37,10,Exceutive Room,4800,2
38,10,Exceutive Room,4800,5
39,10,Exceutive Room,4800,4
40,10,Superior room,4500,4
41,10,Family Room,3900,5
42,10,Deluxe Room,2900,4
43,10,Family Room,3900,4
44,10,Family Room,3900,2
45,10,Exceutive Room,4800,4
46,10,Superior room,4500,3
47,10,Deluxe Room,2900,5
48,10,Adjoining Rooms,5700,5
49,10,Suite,24000,3
50,10,Suite,24000,4
51,10,Superior room,4500,3
52,10,Standard Room,1500,2
53,10,Suite,24000,2
54,10,Deluxe Room,2900,3
55,10,Superior room,4500,2
56,10,Standard Room,1500,3
57,10,Deluxe Room,2900,2
58,10,Deluxe Room,2900,5
59,10,Deluxe Room,2900,4
1,11,Presidential Suite,99000,3
2,11,Exceutive Room,4700,2
3,11,Presidential Suite,99000,5
4,11,Presidential Suite,99000,4
5,11,Family Room,3700,4
6,11,Family Room,3700,4
7,11,Suite,20000,2
8,11,Superior room,3500,5
9,11,Exceutive Room,4700,3
10,11,Deluxe Room,3300,5
11,11,Standard Room,2100,3
12,11,Family Room,3700,3
13,11,Standard Room,2100,3
14,11,Adjoining Rooms,4600,2
15,11,Exceutive Room,4700,3
16,11,Standard Room,2100,5
17,11,Superior room,3500,2
18,11,Standard Room,2100,3
19,11,Standard Room,2100,3
20,11,Deluxe Room,3300,3
21,11,Family Room,3700,5
22,11,Superior room,3500,5
23,11,Exceutive Room,4700,4
24,11,Family Room,3700,2
25,11,Standard Room,2100,2
26,11,Adjoining Rooms,4600,3
27,11,Standard Room,2100,3
28,11,Deluxe Room,3300,3
29,11,Family Room,3700,2
30,11,Deluxe Room,3300,3
31,11,Exceutive Room,4700,2
32,11,Suite,20000,3
33,11,Standard Room,2100,2
34,11,Suite,20000,3
35,11,Deluxe Room,3300,5
36,11,Deluxe Room,3300,2
37,11,Superior room,3500,4
38,11,Presidential Suite,99000,4
39,11,Exceutive Room,4700,3
40,11,Standard Room,2100,5
41,11,Deluxe Room,3300,3
42,11,Superior room,3500,5
43,11,Superior room,3500,3
44,11,Family Room,3700,3
45,11,Exceutive Room,4700,3
46,11,Family Room,3700,4
47,11,Presidential Suite,99000,4
48,11,Standard Room,2100,5
49,11,Deluxe Room,3300,4
50,11,Standard Room,2100,4
51,11,Superior room,3500,3
52,11,Adjoining Rooms,4600,5
53,11,Deluxe Room,3300,5
54,11,Family Room,3700,2
55,11,Deluxe Room,3300,4
56,11,Standard Room,2100,5
57,11,Adjoining Rooms,4600,4
58,11,Family Room,3700,4
59,11,Exceutive Room,4700,3
60,11,Deluxe Room,3300,4
61,11,Superior room,3500,5
62,11,Family Room,3700,2
63,11,Deluxe Room,3300,4
64,11,Standard Room,2100,5
65,11,Accessible Room,2200,4
66,11,Suite,20000,2
67,11,Family Room,3700,3
68,11,Standard Room,2100,5
69,11,Standard Room,2100,2
70,11,Accessible Room,2200,2
71,11,Deluxe Room,3300,5
72,11,Suite,20000,3
73,11,Standard Room,2100,5
74,11,Superior room,3500,4
75,11,Suite,20000,3
76,11,Superior room,3500,3
77,11,Standard Room,2100,2
78,11,Family Room,3700,2
79,11,Presidential Suite,99000,3
80,11,Exceutive Room,4700,4
81,11,Presidential Suite,99000,4
82,11,Standard Room,2100,5
83,11,Standard Room,2100,3
84,11,Superior room,3500,4
85,11,Adjoining Rooms,4600,2
86,11,Family Room,3700,4
87,11,Exceutive Room,4700,3
88,11,Family Room,3700,5
89,11,Presidential Suite,99000,5
1,12,Exceutive Room,4800,3
2,12,Presidential Suite,59000,2
3,12,Standard Room,1100,2
4,12,Standard Room,1100,2
5,12,Deluxe Room,3300,2
6,12,Deluxe Room,3300,2
7,12,Superior room,3600,4
8,12,Deluxe Room,3300,3
9,12,Exceutive Room,4800,5
10,12,Family Room,2500,4
11,12,Exceutive Room,4800,5
12,12,Standard Room,1100,3
13,12,Presidential Suite,59000,2
14,12,Exceutive Room,4800,2
15,12,Deluxe Room,3300,4
16,12,Superior room,3600,2
17,12,Superior room,3600,4
18,12,Family Room,2500,5
19,12,Presidential Suite,59000,3
20,12,Presidential Suite,59000,5
21,12,Deluxe Room,3300,4
22,12,Standard Room,1100,4
23,12,Superior room,3600,4
24,12,Standard Room,1100,3
25,12,Suite,19000,2
26,12,Exceutive Room,4800,4
27,12,Exceutive Room,4800,4
28,12,Family Room,2500,4
29,12,Family Room,2500,4
30,12,Suite,19000,2
31,12,Superior room,3600,5
32,12,Presidential Suite,59000,4
33,12,Standard Room,1100,2
34,12,Family Room,2500,2
35,12,Standard Room,1100,4
36,12,Superior room,3600,5
37,12,Standard Room,1100,5
38,12,Accessible Room,1900,5
39,12,Exceutive Room,4800,2
40,12,Suite,19000,2
41,12,Standard Room,1100,2
42,12,Exceutive Room,4800,2
43,12,Superior room,3600,2
44,12,Exceutive Room,4800,4
45,12,Deluxe Room,3300,5
46,12,Family Room,2500,3
47,12,Standard Room,1100,3
48,12,Family Room,2500,4
49,12,Standard Room,1100,2
50,12,Family Room,2500,3
51,12,Family Room,2500,5
52,12,Adjoining Rooms,4700,5
53,12,Exceutive Room,4800,2
54,12,Deluxe Room,3300,3
55,12,Standard Room,1100,2
56,12,Deluxe Room,3300,4
57,12,Standard Room,1100,4
58,12,Accessible Room,1900,4
59,12,Superior room,3600,4
60,12,Superior room,3600,2
61,12,Standard Room,1100,3
62,12,Superior room,3600,2
63,12,Deluxe Room,3300,5
64,12,Standard Room,1100,3
65,12,Accessible Room,1900,2
66,12,Exceutive Room,4800,4
